Time,filt_S1_X,filt_S1_Y,filt_S1_Z,filt_S1_p,filt_S1_r,filt_S2_X,filt_S2_Y,filt_S2_Z,filt_S2_p,filt_S2_r,,,,S1_X,S1_Y,S1_Z,S1_p,S1_r,S2_X,S2_Y,S2_Z,S2_p,S2_r
0,0.003211896,-0.007659103,-0.004589151,0.242082079,-0.428805782,0.01209436,-0.000175643,-0.006514217,0.64498572,0.120782321,,,,-0.16,-0.04,1.07,-9.1,-1.89,-0.45,0.08,0.97,-26.44,4.7
0.013,0.005067434,-0.006256317,-0.015908816,0.345084713,-0.424778389,0.01656055,0.000367611,-0.018626371,0.881408165,0.208886871,,,,-0.13,-0.01,1.01,-7.29,-0.67,-0.4,0.1,0.89,-23.85,6.28
0.026,0.00692397,-0.00493868,-0.026878445,0.448746669,-0.422479733,0.020963825,0.000842743,-0.030353054,1.115140813,0.291051728,,,,-0.11,-0.05,0.99,-6.39,-2.72,-0.42,0.19,0.88,-24.58,12.22
0.039,0.008781508,-0.003733592,-0.037189863,0.553377317,-0.420756456,0.025227434,0.001225547,-0.041343437,1.342929822,0.364086901,,,,-0.13,-0.01,0.96,-7.29,-0.82,-0.4,0.03,0.84,-23.48,1.86
0.051,0.010646656,-0.002660835,-0.046586449,0.659567067,-0.418443503,0.029289233,0.00149884,-0.051305435,1.562233639,0.425529475,,,,-0.14,-0.04,1,-8.31,-2.23,-0.43,0.08,0.91,-25.32,5.02
0.064,0.012531457,-0.001728606,-0.054876933,0.768087781,-0.414285282,0.033103587,0.001655143,-0.060021609,1.771268681,0.473883589,,,,-0.17,-0.06,1.02,-9.78,-3.41,-0.44,0.04,0.93,-26.07,2.41
0.079,0.014449516,-0.000930698,-0.061940293,0.879656828,-0.406864284,0.036639997,0.001698167,-0.06735496,1.968874361,0.508739788,,,,-0.16,-0.05,1.05,-8.99,-2.56,-0.44,0.05,0.93,-25.94,3.11
0.093,0.016410527,-0.00024512,-0.067722858,0.994630228,-0.394551789,0.039879361,0.001643656,-0.073245948,2.15425482,0.530814658,,,,-0.15,0.05,1.04,-8.42,2.57,-0.42,0.16,0.93,-24.95,9.64
0.107,0.018414741,0.000365496,-0.072230034,1.11270995,-0.37550599,0.042809208,0.001519702,-0.077703455,2.326679909,0.541930207,,,,-0.16,-0.03,0.95,-9.1,-2,-0.41,0.06,0.86,-24.21,4.03
0.119,0.020448804,0.000951327,-0.075515372,1.232741549,-0.347747478,0.045419213,0.001366051,-0.080792682,2.485225713,0.544917208,,,,-0.15,-0.02,1.08,-8.65,-0.83,-0.46,0.14,0.99,-27.32,8.34
0.132,0.022483955,0.001570627,-0.077669228,1.352654132,-0.309322876,0.047698054,0.001231855,-0.082622538,2.628617287,0.54341715,,,,-0.17,-0.05,1.01,-9.78,-2.66,-0.44,0.06,0.91,-25.82,3.79
0.144,0.024477071,0.002283573,-0.078808514,1.469563919,-0.258526862,0.049632245,0.00117175,-0.083334253,2.755210176,0.541583907,,,,-0.13,-0.09,1,-7.18,-5.13,-0.41,0.05,0.91,-24.46,3.21
0.156,0.02637437,0.003146046,-0.079068122,1.58002735,-0.194117646,0.051207039,0.001240947,-0.083091849,2.863109574,0.543727094,,,,-0.11,-0.03,0.93,-6.05,-2.04,-0.35,0.06,0.79,-20.34,4.08
0.169,0.028117021,0.004204727,-0.078593666,1.680394463,-0.115458348,0.052408713,0.001490441,-0.082073812,2.950381553,0.553963146,,,,-0.12,-0.03,0.93,-6.73,-1.57,-0.38,0.05,0.81,-22.39,3.87
0.181,0.029647492,0.005494174,-0.077534545,1.767191394,-0.022551522,0.053227155,0.001963328,-0.080464562,3.015283478,0.575929801,,,,-0.13,0,1.02,-7.41,-0.11,-0.43,0.11,0.93,-25.32,6.56
0.194,0.030915473,0.007035644,-0.07603653,1.837463969,0.084014996,0.053657829,0.002692577,-0.07844468,3.056452452,0.612582355,,,,-0.12,0,1.02,-7.07,0,-0.42,0.11,0.92,-24.58,6.57
0.207,0.031882566,0.00883681,-0.074233951,1.889038242,0.203156632,0.053702865,0.003699834,-0.076180111,3.073032078,0.666050904,,,,-0.13,-0.01,0.99,-7.18,-0.34,-0.4,0.09,0.9,-23.72,5.85
0.219,0.032525382,0.010891485,-0.072242375,1.920682772,0.333358238,0.053371616,0.004994523,-0.073811815,3.064754923,0.737521688,,,,-0.12,-0.03,0.97,-6.84,-1.5,-0.39,0.09,0.87,-22.99,5.8
0.231,0.032837088,0.013178945,-0.070152952,1.932179357,0.472687241,0.052681162,0.006572688,-0.071447731,3.032009851,0.827118962,,,,-0.14,-0.04,1.02,-8.08,-2.2,-0.43,0.05,0.95,-25.2,2.95
0.244,0.032827687,0.015662983,-0.068029393,1.924322221,0.618757438,0.051657139,0.008415529,-0.069158555,2.975917288,0.933791881,,,,-0.14,-0.02,1.05,-7.97,-1.07,-0.43,0.09,0.94,-25.45,5.45
0.257,0.032523438,0.018291173,-0.0659083,1.898871115,0.768668491,0.050335108,0.01048793,-0.066978251,2.89842511,1.055230336,,,,-0.12,0.01,0.99,-7.07,0.68,-0.4,0.12,0.88,-23.36,7.49
0.269,0.031965758,0.020994723,-0.063803114,1.858480052,0.918947433,0.048762452,0.012737322,-0.064909406,2.802423451,1.187832568,,,,-0.13,0,1,-7.29,-0.22,-0.41,0.09,0.9,-23.97,5.56
0.282,0.031209805,0.023689126,-0.061711407,1.806611211,1.065510453,0.047000402,0.015093094,-0.06293261,2.691854978,1.32673559,,,,-0.13,0,1.01,-7.41,0.22,-0.4,0.11,0.89,-23.6,6.78
0.294,0.030322698,0.026275769,-0.059624429,1.747429289,1.203662251,0.045125466,0.017466794,-0.06101825,2.571775984,1.465916088,,,,-0.13,-0.03,0.99,-7.18,-1.58,-0.4,0.06,0.9,-23.6,3.97
0.307,0.029381231,0.02864484,-0.057537349,1.685662051,1.328160474,0.043229327,0.019753606,-0.059138686,2.448315638,1.598379319,,,,-0.12,-0.05,0.99,-6.73,-2.82,-0.39,0.06,0.88,-23.24,4.18
0.319,0.028468847,0.030680033,-0.055458447,1.626410362,1.433380575,0.041416409,0.021835764,-0.057278907,2.328490292,1.716461012,,,,-0.12,0.01,0.98,-6.96,0.34,-0.4,0.11,0.88,-23.36,6.94
0.331,0.027671683,0.032265313,-0.053415669,1.574895305,1.51360458,0.039798761,0.023588311,-0.055444147,2.219853921,1.812254594,,,,-0.12,0,0.99,-6.96,0.23,-0.42,0.1,0.91,-24.71,6.03
0.344,0.027073593,0.033293402,-0.051459474,1.536141569,1.563422684,0.03848846,0.024887036,-0.053663604,2.129999249,1.878143315,,,,-0.14,0.02,1.04,-8.08,0.86,-0.44,0.12,0.94,-25.94,7.46
0.356,0.02675031,0.033674941,-0.049661588,1.514613146,1.578196885,0.037588377,0.025617726,-0.05199006,2.065958391,1.907382359,,,,-0.13,0.03,1.01,-7.63,1.66,-0.42,0.12,0.89,-24.95,7.83
0.369,0.026763169,0.033346943,-0.048109971,1.513833712,1.554513886,0.037182499,0.02568557,-0.050495806,2.03357443,1.894659622,,,,-0.12,0.01,0.98,-6.84,0.34,-0.4,0.09,0.88,-23.36,5.58
0.381,0.027153046,0.032279281,-0.04690077,1.536033602,1.490559866,0.037327076,0.025023596,-0.049265487,2.036919131,1.836571031,,,,-0.14,-0.02,1.03,-8.08,-1.3,-0.44,0.09,0.94,-25.82,5.45
0.394,0.027935219,0.030478447,-0.04612823,1.581867359,1.386374076,0.038043654,0.023599343,-0.048386686,2.077822924,1.731966922,,,,-0.14,0.01,1.05,-8.31,0.64,-0.44,0.12,0.94,-26.32,6.99
0.408,0.029095911,0.027988403,-0.045873626,1.650242931,1.243964251,0.039314832,0.021419173,-0.047939158,2.155571255,1.582144124,,,,-0.14,0,1.01,-7.86,-0.11,-0.42,0.11,0.9,-24.95,6.71
0.42,0.030591149,0.024888653,-0.046194333,1.738295389,1.067282243,0.041083284,0.018529823,-0.047983732,2.266805961,1.3908663,,,,-0.12,0.01,0.96,-6.73,0.81,-0.39,0.12,0.84,-22.75,7.91
0.432,0.032348373,0.021289849,-0.047113954,1.841522169,0.862064378,0.043254185,0.015016877,-0.048551809,2.405646298,1.164200795,,,,-0.13,-0.04,0.98,-7.18,-2.4,-0.4,0.05,0.9,-23.72,3.24
0.445,0.034270862,0.017327376,-0.04861433,1.954076693,0.635547429,0.045700772,0.011000198,-0.049636384,2.564018837,0.910175626,,,,-0.13,0.01,1.08,-7.63,0.72,-0.43,0.12,1,-25.57,6.88
0.457,0.036244757,0.013153445,-0.050630438,2.069200257,0.396080551,0.048272585,0.006626738,-0.051185917,2.732173014,0.638283585,,,,-0.13,-0.06,1,-7.63,-3.46,-0.41,0.05,0.89,-24.09,3.4
0.471,0.038148138,0.008928303,-0.053049595,2.179760362,0.152659854,0.050805992,0.002061373,-0.053102801,2.899359819,0.358878019,,,,-0.11,0.01,1.08,-6.39,0.52,-0.43,0.08,0.98,-25.7,4.57
0.485,0.039861382,0.004811034,-0.055716409,2.278852122,-0.085588982,0.053136572,-0.002523565,-0.055247999,3.054648084,0.082507492,,,,-0.13,-0.01,1.04,-7.18,-0.54,-0.42,0.11,0.95,-25.08,6.33
0.497,0.041277798,0.000950317,-0.058444137,2.360404973,-0.309959028,0.055112632,-0.006959522,-0.057452368,3.187831336,-0.180771859,,,,-0.1,-0.02,1.01,-5.6,-1,-0.39,0.11,0.89,-22.75,7.23
0.51,0.042313271,-0.002524559,-0.061031688,2.419723887,-0.512716887,0.056608605,-0.011093154,-0.059533549,3.290339546,-0.422072185,,,,-0.09,-0.03,0.94,-5.15,-2.02,-0.35,0.05,0.83,-20.22,3.37
0.523,0.042913657,-0.00551179,-0.063283857,2.453890916,-0.687621632,0.057536499,-0.01479709,-0.061315683,3.356031502,-0.634289673,,,,-0.08,-0.07,0.93,-4.82,-4.22,-0.35,0,0.82,-20.22,0
0.535,0.043058792,-0.00794334,-0.065031333,2.461966044,-0.830341633,0.057853454,-0.017978606,-0.062648293,3.381731688,-0.812581064,,,,-0.11,-0.08,0.95,-6.28,-5.04,-0.38,0,0.88,-22.02,-0.13
0.548,0.042762522,-0.009788263,-0.066146972,2.444958238,-0.938694031,0.057563964,-0.020584538,-0.063420972,3.367410963,-0.954605296,,,,-0.12,-0.05,0.99,-6.96,-2.94,-0.4,0.05,0.9,-23.48,3.11
0.561,0.04206892,-0.011052325,-0.066556024,2.405581218,-1.012655162,0.056716486,-0.02260134,-0.063571973,3.315986901,-1.060466978,,,,-0.12,-0.03,1,-6.84,-1.78,-0.41,0.08,0.91,-24.46,5.29
