Timestamp,S1_X,S1_Y,S1_Z,S1_p,S1_r,S2_X,S2_Y,S2_Z,S2_p,S2_r
2025-11-05 08:37:54.655,-0.02,0.06,1.01,-1.29,3.5,-0.07,0.02,0.99,-4.09,1.07
2025-11-05 08:37:54.668,-0.03,0.07,1.0,-1.57,3.86,-0.07,0.02,0.99,-4.14,1.24
2025-11-05 08:37:54.909,-0.05,0.05,1.01,-3.13,2.93,-0.07,0.02,1.0,-3.98,1.12
2025-11-05 08:37:55.479,-0.06,0.05,1.01,-3.58,2.82,-0.08,0.01,0.99,-4.37,0.73
2025-11-05 08:37:56.049,-0.05,0.04,1.0,-2.74,2.29,-0.07,0.02,0.99,-4.14,1.19
2025-11-05 08:37:56.619,-0.07,0.04,1.01,-3.86,2.44,-0.08,0.02,0.99,-4.31,1.19
2025-11-05 08:37:57.189,-0.06,0.04,1.01,-3.7,2.56,-0.08,0.02,1.0,-4.54,1.07
2025-11-05 08:37:57.759,-0.06,0.04,1.01,-3.53,2.37,-0.08,0.02,0.99,-4.31,1.02
2025-11-05 08:37:58.329,-0.07,0.04,1.01,-3.75,2.5,-0.08,0.02,0.99,-4.31,0.96
2025-11-05 08:37:58.898,-0.07,0.04,1.01,-3.92,2.33,-0.07,0.02,0.99,-4.26,1.18
2025-11-05 08:37:59.468,-0.06,0.04,1.01,-3.53,2.45,-0.07,0.03,0.99,-4.2,1.47
2025-11-05 08:38:00.038,-0.07,0.04,1.01,-3.75,2.38,-0.08,0.02,0.99,-4.31,1.18
2025-11-05 08:38:00.608,-0.07,0.04,1.01,-3.92,2.17,-0.07,0.02,0.99,-4.09,1.36
2025-11-05 08:38:01.178,-0.07,0.04,1.01,-3.92,2.33,-0.07,0.02,0.99,-4.2,1.13
2025-11-05 08:38:01.748,-0.07,0.05,1.01,-3.75,2.72,-0.07,0.02,1.0,-4.2,1.12
2025-11-05 08:38:02.318,-0.06,0.04,1.01,-3.7,2.55,-0.08,0.02,0.99,-4.31,1.18
2025-11-05 08:38:02.888,-0.06,0.04,1.01,-3.53,2.55,-0.07,0.02,1.0,-4.2,1.07
2025-11-05 08:38:03.458,-0.07,0.04,1.01,-4.03,2.5,-0.07,0.02,1.0,-4.09,1.29
2025-11-05 08:38:04.028,-0.07,0.04,1.01,-4.03,2.5,-0.07,0.02,0.99,-3.98,1.36
2025-11-05 08:38:04.597,-0.07,0.04,1.0,-3.86,2.51,-0.07,0.02,1.0,-4.14,1.17
2025-11-05 08:38:05.167,-0.07,0.04,1.01,-3.86,2.44,-0.08,0.02,1.0,-4.37,1.35
2025-11-05 08:38:05.737,-0.06,0.05,1.01,-3.58,2.66,-0.08,0.02,0.99,-4.37,1.36
2025-11-05 08:38:06.308,-0.06,0.04,1.0,-3.7,2.52,-0.08,0.02,0.99,-4.31,1.07
2025-11-05 08:38:06.877,-0.07,0.03,1.01,-3.75,1.83,-0.07,0.02,0.99,-4.14,1.18
2025-11-05 08:38:07.448,-0.06,0.04,1.01,-3.64,2.27,-0.08,0.02,0.99,-4.42,1.07
2025-11-05 08:38:08.017,-0.07,0.05,1.01,-3.98,2.61,-0.07,0.02,0.99,-4.14,1.13
2025-11-05 08:38:08.587,-0.07,0.04,1.01,-3.86,2.43,-0.08,0.03,0.99,-4.48,1.58
2025-11-05 08:38:09.158,-0.06,0.04,1.01,-3.7,2.55,-0.07,0.02,1.0,-4.14,1.17
2025-11-05 08:38:09.727,-0.06,0.05,1.02,-3.64,2.75,-0.08,0.02,1.0,-4.31,1.4
2025-11-05 08:38:10.297,-0.06,0.04,1.01,-3.64,2.33,-0.08,0.02,1.0,-4.37,1.34
2025-11-05 08:38:10.866,-0.07,0.05,1.01,-4.2,2.77,-0.07,0.02,0.99,-3.98,1.35
2025-11-05 08:38:11.437,-0.07,0.05,1.01,-3.75,2.6,-0.07,0.03,0.99,-4.09,1.52
2025-11-05 08:38:12.006,-0.06,0.04,1.01,-3.7,2.49,-0.08,0.02,0.99,-4.31,1.36
2025-11-05 08:38:12.577,-0.07,0.05,1.02,-3.98,2.59,-0.08,0.02,0.99,-4.48,1.3
2025-11-05 08:38:13.146,-0.06,0.04,1.01,-3.7,2.55,-0.08,0.02,0.99,-4.59,1.29
2025-11-05 08:38:13.717,-0.07,0.04,1.01,-3.92,2.38,-0.07,0.02,0.99,-4.2,1.24
2025-11-05 08:38:14.286,-0.07,0.05,1.01,-3.81,2.66,-0.07,0.02,0.99,-4.2,1.18
2025-11-05 08:38:14.856,-0.08,0.04,1.01,-4.31,2.27,-0.07,0.02,0.99,-4.14,1.07
