Timestamp,S1_X,S1_Y,S1_Z,S1_p,S1_r,S2_X,S2_Y,S2_Z,S2_p,S2_r
2025-11-05 08:39:11.571,-0.11,0.03,1.01,-6.17,1.56,-0.07,0.03,0.99,-4.26,1.59
2025-11-05 08:39:11.583,-0.1,0.02,1.0,-5.94,1.34,-0.07,0.02,0.99,-4.03,1.24
2025-11-05 08:39:11.826,-0.11,0.03,1.0,-6.05,1.45,-0.07,0.02,0.99,-4.26,1.35
2025-11-05 08:39:12.396,-0.11,0.02,1.0,-6.17,1.11,-0.07,0.02,1.0,-4.26,1.12
2025-11-05 08:39:12.966,-0.11,0.02,1.01,-6.28,1.33,-0.08,0.02,0.99,-4.48,1.35
2025-11-05 08:39:13.536,-0.11,0.02,1.01,-6.05,1.0,-0.07,0.02,0.99,-4.26,1.36
2025-11-05 08:39:14.106,-0.11,0.02,1.01,-6.05,1.11,-0.08,0.02,0.99,-4.59,1.35
2025-11-05 08:39:14.677,-0.1,0.02,1.01,-5.83,1.0,-0.07,0.02,0.98,-4.14,1.14
2025-11-05 08:39:15.246,-0.1,0.02,1.0,-5.94,1.11,-0.08,0.02,1.0,-4.37,1.34
2025-11-05 08:39:15.816,-0.1,0.02,1.01,-5.94,1.33,-0.07,0.03,0.99,-4.14,1.47
2025-11-05 08:39:16.386,-0.11,0.03,1.01,-6.05,1.44,-0.07,0.02,0.99,-4.03,1.36
2025-11-05 08:39:16.956,-0.11,0.02,1.01,-6.05,1.22,-0.07,0.03,0.99,-4.26,1.47
2025-11-05 08:39:17.526,-0.11,0.02,1.0,-6.05,1.34,-0.07,0.02,1.0,-4.26,1.34
2025-11-05 08:39:18.095,-0.11,0.02,0.98,-6.28,1.37,-0.08,0.03,0.97,-4.82,1.5
2025-11-05 08:39:18.665,-0.11,0.02,1.0,-6.17,1.34,-0.07,0.02,0.99,-4.26,1.36
2025-11-05 08:39:19.235,-0.11,0.02,1.01,-6.39,1.33,-0.07,0.02,0.99,-4.26,1.24
2025-11-05 08:39:19.805,-0.12,0.02,1.01,-6.62,1.0,-0.07,0.02,0.99,-4.03,1.24
2025-11-05 08:39:20.375,-0.11,0.02,1.01,-6.05,1.11,-0.07,0.02,1.0,-4.14,1.35
2025-11-05 08:39:20.945,-0.11,0.02,1.01,-6.05,1.0,-0.08,0.02,0.99,-4.37,1.35
2025-11-05 08:39:21.515,-0.11,0.01,1.01,-6.05,0.78,-0.07,0.02,1.0,-4.14,1.23
2025-11-05 08:39:22.085,-0.11,0.02,1.01,-6.17,1.33,-0.07,0.03,0.99,-4.26,1.47
2025-11-05 08:39:22.655,-0.11,0.02,1.01,-6.17,1.33,-0.08,0.02,0.99,-4.37,1.36
