Timestamp,S1_X,S1_Y,S1_Z,S1_p,S1_r,S2_X,S2_Y,S2_Z,S2_p,S2_r
2025-11-05 17:45:43.506,-0.16,-0.04,1.07,-9.1,-1.89,-0.45,0.08,0.97,-26.44,4.7
2025-11-05 17:45:43.519,-0.13,-0.01,1.01,-7.29,-0.67,-0.4,0.1,0.89,-23.85,6.28
2025-11-05 17:45:43.532,-0.11,-0.05,0.99,-6.39,-2.72,-0.42,0.19,0.88,-24.58,12.22
2025-11-05 17:45:43.545,-0.13,-0.01,0.96,-7.29,-0.82,-0.4,0.03,0.84,-23.48,1.86
2025-11-05 17:45:43.557,-0.14,-0.04,1.0,-8.31,-2.23,-0.43,0.08,0.91,-25.32,5.02
2025-11-05 17:45:43.570,-0.17,-0.06,1.02,-9.78,-3.41,-0.44,0.04,0.93,-26.07,2.41
2025-11-05 17:45:43.585,-0.16,-0.05,1.05,-8.99,-2.56,-0.44,0.05,0.93,-25.94,3.11
2025-11-05 17:45:43.599,-0.15,0.05,1.04,-8.42,2.57,-0.42,0.16,0.93,-24.95,9.64
2025-11-05 17:45:43.613,-0.16,-0.03,0.95,-9.1,-2.0,-0.41,0.06,0.86,-24.21,4.03
2025-11-05 17:45:43.625,-0.15,-0.02,1.08,-8.65,-0.83,-0.46,0.14,0.99,-27.32,8.34
2025-11-05 17:45:43.638,-0.17,-0.05,1.01,-9.78,-2.66,-0.44,0.06,0.91,-25.82,3.79
2025-11-05 17:45:43.650,-0.13,-0.09,1.0,-7.18,-5.13,-0.41,0.05,0.91,-24.46,3.21
2025-11-05 17:45:43.662,-0.11,-0.03,0.93,-6.05,-2.04,-0.35,0.06,0.79,-20.34,4.08
2025-11-05 17:45:43.675,-0.12,-0.03,0.93,-6.73,-1.57,-0.38,0.05,0.81,-22.39,3.87
2025-11-05 17:45:43.687,-0.13,-0.0,1.02,-7.41,-0.11,-0.43,0.11,0.93,-25.32,6.56
2025-11-05 17:45:43.700,-0.12,0.0,1.02,-7.07,0.0,-0.42,0.11,0.92,-24.58,6.57
2025-11-05 17:45:43.713,-0.13,-0.01,0.99,-7.18,-0.34,-0.4,0.09,0.9,-23.72,5.85
2025-11-05 17:45:43.725,-0.12,-0.03,0.97,-6.84,-1.5,-0.39,0.09,0.87,-22.99,5.8
2025-11-05 17:45:43.737,-0.14,-0.04,1.02,-8.08,-2.2,-0.43,0.05,0.95,-25.2,2.95
2025-11-05 17:45:43.750,-0.14,-0.02,1.05,-7.97,-1.07,-0.43,0.09,0.94,-25.45,5.45
2025-11-05 17:45:43.763,-0.12,0.01,0.99,-7.07,0.68,-0.4,0.12,0.88,-23.36,7.49
2025-11-05 17:45:43.775,-0.13,-0.0,1.0,-7.29,-0.22,-0.41,0.09,0.9,-23.97,5.56
2025-11-05 17:45:43.788,-0.13,0.0,1.01,-7.41,0.22,-0.4,0.11,0.89,-23.6,6.78
2025-11-05 17:45:43.800,-0.13,-0.03,0.99,-7.18,-1.58,-0.4,0.06,0.9,-23.6,3.97
2025-11-05 17:45:43.813,-0.12,-0.05,0.99,-6.73,-2.82,-0.39,0.06,0.88,-23.24,4.18
2025-11-05 17:45:43.825,-0.12,0.01,0.98,-6.96,0.34,-0.4,0.11,0.88,-23.36,6.94
2025-11-05 17:45:43.837,-0.12,0.0,0.99,-6.96,0.23,-0.42,0.1,0.91,-24.71,6.03
2025-11-05 17:45:43.850,-0.14,0.02,1.04,-8.08,0.86,-0.44,0.12,0.94,-25.94,7.46
2025-11-05 17:45:43.862,-0.13,0.03,1.01,-7.63,1.66,-0.42,0.12,0.89,-24.95,7.83
2025-11-05 17:45:43.875,-0.12,0.01,0.98,-6.84,0.34,-0.4,0.09,0.88,-23.36,5.58
2025-11-05 17:45:43.887,-0.14,-0.02,1.03,-8.08,-1.3,-0.44,0.09,0.94,-25.82,5.45
2025-11-05 17:45:43.900,-0.14,0.01,1.05,-8.31,0.64,-0.44,0.12,0.94,-26.32,6.99
2025-11-05 17:45:43.914,-0.14,-0.0,1.01,-7.86,-0.11,-0.42,0.11,0.9,-24.95,6.71
2025-11-05 17:45:43.926,-0.12,0.01,0.96,-6.73,0.81,-0.39,0.12,0.84,-22.75,7.91
2025-11-05 17:45:43.938,-0.13,-0.04,0.98,-7.18,-2.4,-0.4,0.05,0.9,-23.72,3.24
2025-11-05 17:45:43.951,-0.13,0.01,1.08,-7.63,0.72,-0.43,0.12,1.0,-25.57,6.88
2025-11-05 17:45:43.963,-0.13,-0.06,1.0,-7.63,-3.46,-0.41,0.05,0.89,-24.09,3.4
2025-11-05 17:45:43.977,-0.11,0.01,1.08,-6.39,0.52,-0.43,0.08,0.98,-25.7,4.57
2025-11-05 17:45:43.991,-0.13,-0.01,1.04,-7.18,-0.54,-0.42,0.11,0.95,-25.08,6.33
2025-11-05 17:45:44.003,-0.1,-0.02,1.01,-5.6,-1.0,-0.39,0.11,0.89,-22.75,7.23
2025-11-05 17:45:44.016,-0.09,-0.03,0.94,-5.15,-2.02,-0.35,0.05,0.83,-20.22,3.37
2025-11-05 17:45:44.029,-0.08,-0.07,0.93,-4.82,-4.22,-0.35,0.0,0.82,-20.22,0.0
2025-11-05 17:45:44.041,-0.11,-0.08,0.95,-6.28,-5.04,-0.38,-0.0,0.88,-22.02,-0.13
2025-11-05 17:45:44.054,-0.12,-0.05,0.99,-6.96,-2.94,-0.4,0.05,0.9,-23.48,3.11
2025-11-05 17:45:44.067,-0.12,-0.03,1.0,-6.84,-1.78,-0.41,0.08,0.91,-24.46,5.29
2025-11-05 17:45:44.079,-0.12,-0.02,1.0,-6.84,-0.9,-0.41,0.09,0.88,-24.21,5.55
2025-11-05 17:45:44.092,-0.12,-0.03,0.98,-6.84,-1.71,-0.4,0.07,0.88,-23.6,4.54
2025-11-05 17:45:44.105,-0.12,-0.04,1.0,-7.07,-2.58,-0.42,0.04,0.91,-24.83,2.7
2025-11-05 17:45:44.118,-0.13,-0.04,1.01,-7.41,-2.22,-0.42,0.05,0.93,-24.71,3.26
2025-11-05 17:45:44.130,-0.12,-0.04,1.0,-7.07,-2.34,-0.4,0.06,0.89,-23.85,3.87
2025-11-05 17:45:44.143,-0.12,-0.04,0.98,-6.62,-2.62,-0.4,0.04,0.88,-23.36,2.94
2025-11-05 17:45:44.155,-0.12,-0.05,0.98,-6.62,-3.21,-0.39,0.03,0.88,-22.87,1.91
2025-11-05 17:45:44.168,-0.11,-0.04,1.01,-6.39,-2.22,-0.41,0.05,0.91,-24.21,3.42
2025-11-05 17:45:44.181,-0.13,-0.03,1.03,-7.41,-1.63,-0.42,0.07,0.93,-25.08,4.07
2025-11-05 17:45:44.194,-0.12,-0.03,1.01,-6.73,-1.66,-0.41,0.07,0.91,-23.97,4.3
2025-11-05 17:45:44.206,-0.11,-0.04,0.99,-6.28,-2.14,-0.39,0.05,0.88,-22.99,3.54
2025-11-05 17:45:44.219,-0.12,-0.05,0.98,-6.73,-3.07,-0.4,0.04,0.9,-23.72,2.61
2025-11-05 17:45:44.232,-0.13,-0.05,1.02,-7.75,-2.75,-0.42,0.04,0.92,-24.83,2.66
2025-11-05 17:45:44.244,-0.13,-0.03,1.01,-7.41,-1.89,-0.41,0.05,0.91,-24.46,3.45
2025-11-05 17:45:44.257,-0.12,-0.03,1.0,-6.84,-1.68,-0.41,0.06,0.89,-24.09,4.0
2025-11-05 17:45:44.269,-0.13,-0.02,1.01,-7.52,-1.33,-0.43,0.07,0.92,-25.45,4.48
2025-11-05 17:45:44.281,-0.13,-0.04,1.02,-7.52,-2.2,-0.43,0.05,0.93,-25.2,3.02
2025-11-05 17:45:44.293,-0.13,-0.04,1.02,-7.18,-2.08,-0.42,0.05,0.91,-25.08,2.94
2025-11-05 17:45:44.305,-0.12,-0.04,1.0,-6.84,-2.36,-0.4,0.04,0.89,-23.72,2.88
2025-11-05 17:45:44.319,-0.12,-0.05,0.97,-6.62,-2.76,-0.39,0.05,0.88,-22.75,3.06
2025-11-05 17:45:44.331,-0.12,-0.05,0.98,-6.73,-2.74,-0.39,0.05,0.88,-23.24,3.04
2025-11-05 17:45:44.344,-0.12,-0.05,0.98,-6.73,-2.84,-0.4,0.05,0.88,-23.48,3.19
2025-11-05 17:45:44.356,-0.12,-0.04,0.98,-6.73,-2.5,-0.4,0.05,0.88,-23.36,3.05
2025-11-05 17:45:44.369,-0.12,-0.03,0.99,-6.96,-1.69,-0.41,0.06,0.9,-23.97,4.1
2025-11-05 17:45:44.382,-0.13,-0.03,1.01,-7.52,-1.43,-0.43,0.07,0.92,-25.32,4.63
2025-11-05 17:45:44.394,-0.14,-0.03,1.04,-8.08,-1.51,-0.45,0.06,0.96,-26.94,3.62
2025-11-05 17:45:44.407,-0.14,-0.04,1.03,-8.08,-2.18,-0.43,0.06,0.93,-25.57,3.5
2025-11-05 17:45:44.418,-0.13,-0.04,0.99,-7.41,-2.26,-0.41,0.04,0.88,-24.21,2.79
2025-11-05 17:45:44.431,-0.13,-0.06,1.0,-7.52,-3.24,-0.42,0.02,0.9,-24.83,1.48
2025-11-05 17:45:44.443,-0.12,-0.04,0.98,-7.07,-2.5,-0.41,0.06,0.88,-23.97,3.7
2025-11-05 17:45:44.455,-0.12,-0.04,0.98,-6.96,-2.05,-0.41,0.05,0.88,-24.21,3.16
2025-11-05 17:45:44.467,-0.13,-0.04,1.0,-7.41,-2.47,-0.42,0.04,0.9,-24.83,2.73
2025-11-05 17:45:44.479,-0.13,-0.03,1.01,-7.18,-1.88,-0.43,0.05,0.91,-25.2,3.45
2025-11-05 17:45:44.491,-0.13,-0.03,1.01,-7.75,-1.88,-0.43,0.06,0.92,-25.7,3.63
2025-11-05 17:45:44.503,-0.13,-0.04,1.0,-7.29,-2.02,-0.42,0.06,0.89,-24.71,3.65
2025-11-05 17:45:44.515,-0.14,-0.06,1.01,-8.2,-3.32,-0.45,-0.02,0.97,-26.57,-0.92
2025-11-05 17:45:44.528,-0.16,-0.07,1.08,-9.33,-3.52,-0.46,0.03,0.97,-27.32,1.5
2025-11-05 17:45:44.540,-0.11,-0.01,1.0,-6.39,-0.34,-0.4,0.1,0.86,-23.48,6.84
2025-11-05 17:45:44.552,-0.09,-0.02,0.94,-4.93,-0.95,-0.36,0.09,0.8,-21.06,6.57
2025-11-05 17:45:44.564,-0.09,-0.03,0.94,-5.15,-1.79,-0.36,0.06,0.82,-21.3,4.23
2025-11-05 17:45:44.576,-0.1,-0.05,0.95,-5.72,-2.83,-0.37,0.05,0.83,-21.42,3.24
2025-11-05 17:45:44.589,-0.11,-0.05,0.98,-6.05,-2.73,-0.39,0.04,0.87,-23.24,2.31
2025-11-05 17:45:44.601,-0.14,-0.05,1.04,-8.08,-2.57,-0.46,0.04,0.98,-27.07,2.51
2025-11-05 17:45:44.613,-0.16,-0.04,1.1,-9.22,-2.04,-0.49,0.06,1.03,-29.48,3.25
2025-11-05 17:45:44.625,-0.14,-0.02,1.05,-8.08,-0.96,-0.44,0.09,0.93,-26.19,5.28
2025-11-05 17:45:44.637,-0.12,-0.02,0.97,-6.62,-1.04,-0.39,0.06,0.83,-22.75,4.45
2025-11-05 17:45:44.649,-0.11,-0.03,0.96,-6.39,-1.87,-0.39,0.05,0.84,-23.12,3.71
2025-11-05 17:45:44.662,-0.13,-0.04,0.99,-7.29,-2.25,-0.41,0.05,0.89,-24.46,3.38
2025-11-05 17:45:44.674,-0.12,-0.04,0.99,-6.73,-2.37,-0.41,0.05,0.88,-24.09,3.54
2025-11-05 17:45:44.687,-0.12,-0.04,1.0,-6.96,-2.25,-0.42,0.05,0.89,-24.71,3.5
2025-11-05 17:45:44.701,-0.13,-0.03,1.01,-7.52,-1.88,-0.45,0.04,0.94,-26.69,2.74
2025-11-05 17:45:44.714,-0.16,-0.04,1.07,-9.1,-2.09,-0.46,0.06,0.98,-27.7,3.53
2025-11-05 17:45:44.728,-0.12,-0.0,0.99,-6.96,-0.23,-0.4,0.11,0.85,-23.72,7.17
2025-11-05 17:45:44.741,-0.12,-0.04,0.96,-6.62,-2.11,-0.38,0.04,0.83,-22.51,2.56
