Timestamp,S1_X,S1_Y,S1_Z,S1_p,S1_r,S2_X,S2_Y,S2_Z,S2_p,S2_r
2025-11-05 08:52:06.216,-0.12,0.01,1.0,-6.73,0.45,-0.09,-0.01,0.98,-4.93,-0.69
2025-11-05 08:52:06.229,-0.12,0.0,1.01,-6.96,0.22,-0.09,-0.01,0.99,-4.93,-0.68
2025-11-05 08:52:06.241,-0.12,0.01,1.0,-6.96,0.67,-0.08,-0.02,0.98,-4.71,-0.91
2025-11-05 08:52:06.254,-0.13,0.01,1.0,-7.18,0.67,-0.09,-0.01,0.98,-5.15,-0.68
2025-11-05 08:52:06.266,-0.11,0.01,1.0,-6.5,0.67,-0.08,-0.02,0.98,-4.71,-0.91
2025-11-05 08:52:06.279,-0.12,0.01,1.0,-6.73,0.45,-0.09,-0.01,0.98,-4.93,-0.69
2025-11-05 08:52:06.292,-0.12,0.01,1.0,-6.96,0.45,-0.09,-0.02,0.98,-5.38,-0.91
2025-11-05 08:52:06.304,-0.12,0.01,1.0,-6.73,0.45,-0.09,-0.01,0.98,-4.93,-0.68
2025-11-05 08:52:06.317,-0.12,0.01,1.0,-6.73,0.67,-0.09,-0.02,0.99,-4.93,-0.91
2025-11-05 08:52:06.329,-0.12,0.01,1.0,-6.73,0.67,-0.09,-0.01,0.98,-4.93,-0.68
2025-11-05 08:52:06.342,-0.12,0.01,1.0,-6.96,0.67,-0.09,-0.02,0.98,-4.93,-1.14
2025-11-05 08:52:06.354,-0.12,0.01,1.0,-6.73,0.67,-0.09,-0.01,0.97,-4.93,-0.69
2025-11-05 08:52:06.366,-0.12,0.01,1.0,-6.73,0.67,-0.09,-0.02,0.98,-5.38,-0.91
2025-11-05 08:52:06.378,-0.12,0.01,1.0,-6.73,0.67,-0.09,-0.02,0.98,-4.93,-0.91
2025-11-05 08:52:06.390,-0.12,0.01,1.0,-6.73,0.67,-0.09,-0.02,0.98,-5.38,-0.92
2025-11-05 08:52:06.403,-0.12,0.01,1.0,-6.73,0.67,-0.09,-0.01,0.98,-4.93,-0.69
2025-11-05 08:52:06.415,-0.12,0.01,1.0,-6.73,0.67,-0.09,-0.01,0.98,-5.15,-0.69
2025-11-05 08:52:06.427,-0.12,0.01,1.0,-6.96,0.67,-0.09,-0.02,0.98,-4.93,-0.91
2025-11-05 08:52:06.439,-0.12,0.01,1.0,-6.73,0.45,-0.09,-0.02,0.98,-4.93,-0.91
2025-11-05 08:52:06.452,-0.12,0.01,1.01,-6.73,0.44,-0.09,-0.02,0.98,-5.15,-0.91
2025-11-05 08:52:06.464,-0.11,0.01,1.0,-6.5,0.45,-0.09,-0.02,0.98,-4.93,-0.92
2025-11-05 08:52:06.477,-0.12,0.01,1.01,-6.73,0.44,-0.08,-0.01,0.98,-4.71,-0.69
2025-11-05 08:52:06.489,-0.12,0.02,1.0,-6.73,1.12,-0.09,-0.02,0.99,-4.93,-1.13
2025-11-05 08:52:06.501,-0.12,0.01,1.0,-6.73,0.45,-0.09,-0.02,0.98,-4.93,-0.91
2025-11-05 08:52:06.513,-0.11,0.01,1.0,-6.5,0.45,-0.09,-0.01,0.99,-5.15,-0.68
2025-11-05 08:52:06.525,-0.11,0.01,1.01,-6.5,0.67,-0.09,-0.02,0.98,-5.15,-0.92
2025-11-05 08:52:06.537,-0.12,0.01,1.01,-6.73,0.67,-0.09,-0.02,0.98,-5.38,-0.92
2025-11-05 08:52:06.549,-0.12,0.01,1.0,-6.73,0.67,-0.09,-0.02,0.98,-4.93,-0.92
2025-11-05 08:52:06.561,-0.12,0.01,1.01,-6.73,0.67,-0.09,-0.02,0.98,-4.93,-0.91
2025-11-05 08:52:06.574,-0.12,0.01,1.0,-6.73,0.45,-0.09,-0.02,0.98,-4.93,-0.91
2025-11-05 08:52:06.585,-0.12,0.01,1.0,-6.73,0.67,-0.09,-0.02,0.97,-5.15,-0.92
2025-11-05 08:52:06.597,-0.12,0.01,1.0,-6.73,0.67,-0.09,-0.01,0.97,-4.93,-0.46
2025-11-05 08:52:06.609,-0.12,0.01,1.0,-6.96,0.67,-0.09,-0.02,0.98,-4.93,-0.91
2025-11-05 08:52:06.621,-0.11,0.01,1.01,-6.5,0.67,-0.09,-0.02,0.98,-5.15,-0.92
2025-11-05 08:52:06.633,-0.12,0.01,1.01,-6.73,0.44,-0.09,-0.01,0.98,-5.38,-0.68
2025-11-05 08:52:06.645,-0.12,0.01,1.01,-6.73,0.44,-0.09,-0.01,0.98,-4.93,-0.69
2025-11-05 08:52:06.657,-0.13,0.01,1.0,-7.18,0.45,-0.09,-0.02,0.98,-5.15,-1.14
2025-11-05 08:52:06.669,-0.12,0.01,1.0,-6.73,0.45,-0.09,-0.02,0.98,-4.93,-0.91
2025-11-05 08:52:06.681,-0.12,0.01,1.01,-6.73,0.67,-0.09,-0.02,0.98,-5.38,-0.91
2025-11-05 08:52:06.693,-0.12,0.01,1.0,-6.73,0.67,-0.09,-0.01,0.98,-4.93,-0.68
2025-11-05 08:52:06.705,-0.12,0.01,1.0,-6.96,0.45,-0.09,-0.02,0.98,-5.15,-1.15
2025-11-05 08:52:06.717,-0.12,0.02,1.0,-6.96,0.89,-0.09,-0.02,0.98,-5.15,-0.91
2025-11-05 08:52:06.730,-0.12,0.01,1.0,-6.96,0.67,-0.09,-0.02,0.98,-4.93,-1.37
2025-11-05 08:52:06.742,-0.12,0.01,1.0,-6.73,0.45,-0.09,-0.02,0.98,-5.15,-0.91
2025-11-05 08:52:06.754,-0.12,0.01,1.0,-6.73,0.45,-0.09,-0.02,0.98,-5.15,-0.92
2025-11-05 08:52:06.766,-0.12,0.01,1.0,-6.96,0.45,-0.09,-0.02,0.98,-4.93,-0.91
2025-11-05 08:52:06.780,-0.12,0.01,1.0,-6.96,0.45,-0.08,-0.02,0.98,-4.71,-0.91
2025-11-05 08:52:06.794,-0.12,0.01,1.0,-6.73,0.67,-0.09,-0.02,0.98,-5.15,-0.91
2025-11-05 08:52:06.806,-0.12,0.01,1.0,-6.73,0.67,-0.09,-0.02,0.98,-5.15,-0.91
2025-11-05 08:52:06.818,-0.12,0.01,1.0,-6.96,0.45,-0.09,-0.02,0.98,-5.15,-1.14
2025-11-05 08:52:06.830,-0.12,0.01,1.0,-6.96,0.67,-0.09,-0.02,0.98,-5.38,-0.91
2025-11-05 08:52:06.842,-0.11,0.02,1.0,-6.28,0.89,-0.09,-0.02,0.98,-5.15,-1.14
2025-11-05 08:52:06.854,-0.12,0.01,1.0,-6.96,0.45,-0.09,-0.02,0.98,-4.93,-0.91
2025-11-05 08:52:06.867,-0.12,0.01,1.0,-6.73,0.67,-0.09,-0.02,0.98,-5.15,-1.15
2025-11-05 08:52:06.879,-0.12,0.01,1.0,-6.73,0.67,-0.09,-0.02,0.98,-4.93,-1.37
2025-11-05 08:52:06.892,-0.12,0.01,1.01,-6.73,0.67,-0.09,-0.02,0.98,-4.93,-1.14
2025-11-05 08:52:06.904,-0.12,0.01,1.0,-6.96,0.45,-0.08,-0.02,0.98,-4.71,-1.15
2025-11-05 08:52:06.917,-0.12,0.01,1.0,-6.73,0.67,-0.09,-0.02,0.98,-4.93,-0.91
2025-11-05 08:52:06.928,-0.12,0.01,1.0,-6.96,0.67,-0.09,-0.02,0.98,-4.93,-1.14
2025-11-05 08:52:06.940,-0.12,0.01,1.0,-6.96,0.67,-0.09,-0.02,0.98,-4.93,-0.91
2025-11-05 08:52:06.952,-0.12,0.01,1.0,-6.73,0.67,-0.09,-0.02,0.97,-5.15,-0.92
2025-11-05 08:52:06.965,-0.13,0.01,1.0,-7.18,0.67,-0.09,-0.02,0.98,-5.15,-0.91
2025-11-05 08:52:06.976,-0.11,0.01,1.0,-6.5,0.67,-0.09,-0.02,0.99,-4.93,-0.9
2025-11-05 08:52:06.988,-0.12,0.01,1.0,-6.96,0.67,-0.09,-0.02,0.98,-5.15,-1.14
2025-11-05 08:52:07.000,-0.12,0.0,1.0,-6.73,0.22,-0.09,-0.02,0.98,-5.15,-0.91
2025-11-05 08:52:07.012,-0.12,0.01,1.0,-6.73,0.45,-0.09,-0.02,0.98,-4.93,-0.91
2025-11-05 08:52:07.024,-0.12,0.01,1.0,-6.73,0.67,-0.09,-0.02,0.98,-4.93,-0.91
2025-11-05 08:52:07.036,-0.12,0.01,1.0,-6.96,0.67,-0.09,-0.02,0.98,-5.15,-1.14
2025-11-05 08:52:07.049,-0.12,0.01,1.0,-6.96,0.67,-0.08,-0.02,0.98,-4.71,-0.91
2025-11-05 08:52:07.060,-0.12,0.01,1.0,-6.73,0.67,-0.09,-0.02,0.98,-5.15,-0.91
2025-11-05 08:52:07.072,-0.12,0.01,1.0,-6.73,0.45,-0.09,-0.02,0.98,-4.93,-0.91
2025-11-05 08:52:07.084,-0.12,0.01,1.0,-6.73,0.45,-0.09,-0.02,0.98,-4.93,-0.91
2025-11-05 08:52:07.096,-0.12,0.01,1.0,-6.73,0.67,-0.09,-0.02,0.98,-4.93,-0.92
2025-11-05 08:52:07.108,-0.12,0.01,1.0,-6.73,0.67,-0.09,-0.02,0.98,-4.93,-1.37
2025-11-05 08:52:07.120,-0.12,0.02,1.0,-6.96,0.89,-0.09,-0.02,0.98,-4.93,-0.92
2025-11-05 08:52:07.132,-0.12,0.01,1.0,-6.73,0.67,-0.09,-0.01,0.98,-4.93,-0.68
2025-11-05 08:52:07.144,-0.12,0.01,1.0,-6.73,0.45,-0.09,-0.02,0.98,-4.93,-0.91
2025-11-05 08:52:07.156,-0.12,0.01,1.01,-6.73,0.44,-0.09,-0.02,0.98,-4.93,-1.14
2025-11-05 08:52:07.168,-0.12,0.01,1.0,-6.96,0.45,-0.09,-0.02,0.98,-4.93,-1.14
2025-11-05 08:52:07.181,-0.12,0.01,1.0,-6.96,0.45,-0.09,-0.02,0.98,-5.15,-0.91
2025-11-05 08:52:07.193,-0.12,0.01,1.0,-6.96,0.45,-0.09,-0.02,0.98,-5.15,-1.14
2025-11-05 08:52:07.205,-0.12,0.01,1.0,-6.96,0.45,-0.09,-0.02,0.98,-5.15,-0.91
2025-11-05 08:52:07.217,-0.12,0.01,1.0,-6.96,0.45,-0.09,-0.02,0.98,-4.93,-0.91
