Timestamp,S1_X,S1_Y,S1_Z,S1_p,S1_r,S2_X,S2_Y,S2_Z,S2_p,S2_r
2025-11-05 08:48:00.216,-0.37,0.2,1.27,-21.78,8.77,-0.4,-0.39,1.55,-23.72,-14.0
2025-11-05 08:48:00.228,-0.14,0.32,0.95,-8.08,18.93,-0.15,0.04,0.97,-8.54,2.31
2025-11-05 08:48:00.471,-0.23,0.29,0.82,-13.32,19.41,-0.17,0.02,0.8,-9.9,1.68
2025-11-05 08:48:01.041,0.19,0.08,0.11,10.81,36.53,0.17,0.04,-0.16,9.67,164.62
2025-11-05 08:48:01.611,-0.4,0.56,0.96,-23.72,30.27,-0.57,0.66,1.16,-35.04,29.56
2025-11-05 08:48:02.181,-0.37,0.51,1.04,-21.54,26.22,-0.36,0.44,1.07,-20.82,22.41
2025-11-05 08:48:02.751,-0.65,0.07,1.66,-40.72,2.43,-0.58,-0.21,1.86,-35.32,-6.37
2025-11-05 08:48:03.322,-0.57,0.26,1.29,-35.04,11.31,-0.48,0.15,1.4,-28.97,6.2
2025-11-05 08:48:03.892,-0.89,0.74,1.96,-62.46,20.69,-0.95,0.66,2.56,-70.96,14.45
2025-11-05 08:48:04.462,-0.45,0.16,0.95,-26.69,9.62,-0.38,0.02,1.0,-22.51,1.11
2025-11-05 08:48:05.033,-0.55,0.3,1.18,-33.69,14.3,-0.51,0.2,1.32,-30.78,8.77
2025-11-05 08:48:05.602,-0.63,0.23,1.32,-39.26,9.87,-0.55,0.08,1.46,-33.69,3.07
2025-11-05 08:48:06.172,-0.68,0.19,1.46,-42.82,7.29,-0.57,0.07,1.58,-34.5,2.55
2025-11-05 08:48:06.743,-0.73,0.2,1.18,-46.93,9.37,-0.7,0.08,1.25,-44.36,3.74
2025-11-05 08:48:07.312,-0.29,-0.11,0.83,-16.57,-7.75,-0.23,-0.34,0.8,-13.32,-22.76
2025-11-05 08:48:07.882,0.21,-0.31,0.3,12.41,-45.73,0.24,-0.43,0.15,14.02,-70.94
2025-11-05 08:48:08.454,-0.78,0.49,1.68,-51.38,16.3,-0.78,0.38,2.08,-51.38,10.23
2025-11-05 08:48:09.023,-0.96,0.31,2.11,-73.93,8.43,-0.92,0.14,2.58,-67.2,3.04
2025-11-05 08:48:09.593,-0.43,0.06,0.79,-25.7,4.55,-0.43,0.04,0.71,-25.7,2.85
2025-11-05 08:48:10.163,-0.13,-0.23,0.45,-7.63,-26.76,-0.04,-0.39,0.19,-2.46,-64.58
2025-11-05 08:48:10.733,-0.57,0.2,1.21,-34.77,9.31,-0.75,0.07,1.26,-48.59,3.19
2025-11-05 08:48:11.303,-0.39,-0.22,0.65,-23.24,-18.85,-0.39,-0.38,0.54,-22.99,-34.82
2025-11-05 08:48:11.873,-0.7,0.13,1.12,-44.36,6.58,-0.87,0.09,1.15,-60.59,4.46
2025-11-05 08:48:12.443,-0.67,-0.21,0.47,-41.91,-24.62,-0.75,-0.32,0.32,-48.93,-45.35
2025-11-05 08:48:13.014,-0.04,-0.2,0.05,-2.01,-77.01,-0.02,-0.3,-0.32,-1.12,-136.43
2025-11-05 08:48:13.584,-0.91,0.12,1.61,-65.53,4.31,-0.83,0.0,1.91,-56.31,0.0
2025-11-05 08:48:14.155,-0.57,-0.21,0.21,-34.77,-44.47,-0.72,-0.28,-0.15,-46.27,-118.44
2025-11-05 08:48:14.726,-0.57,-0.05,0.92,-34.5,-3.15,-0.55,-0.34,0.9,-33.69,-20.94
2025-11-05 08:48:15.296,-0.27,-0.25,0.93,-15.64,-14.99,-0.26,-0.43,0.87,-14.94,-26.46
2025-11-05 08:48:15.866,-0.26,-0.23,0.97,-14.94,-13.6,-0.27,-0.42,0.92,-15.64,-24.59
2025-11-05 08:48:16.436,-0.26,-0.24,0.95,-14.94,-14.37,-0.25,-0.44,0.88,-14.48,-26.67
