run_index,request_id,request_ts,left_recv_time_ms,left_glove_time_ms,left_time,right_recv_time_ms,right_glove_time_ms,right_time,left_hand,left_palm_mcp_flex,left_palm_pip_flex,left_palm_mid_yaw,left_palm_mid_pitch,left_palm_mid_roll,left_palm_mid_ax,left_palm_mid_ay,left_palm_mid_az,left_palm_prox_yaw,left_palm_prox_pitch,left_palm_prox_roll,left_palm_prox_ax,left_palm_prox_ay,left_palm_prox_az,left_thumb_mcp_flex,left_thumb_pip_flex,left_thumb_mid_yaw,left_thumb_mid_pitch,left_thumb_mid_roll,left_thumb_mid_ax,left_thumb_mid_ay,left_thumb_mid_az,left_thumb_prox_yaw,left_thumb_prox_pitch,left_thumb_prox_roll,left_thumb_prox_ax,left_thumb_prox_ay,left_thumb_prox_az,left_index_mcp_flex,left_index_pip_flex,left_index_mid_yaw,left_index_mid_pitch,left_index_mid_roll,left_index_mid_ax,left_index_mid_ay,left_index_mid_az,left_index_prox_yaw,left_index_prox_pitch,left_index_prox_roll,left_index_prox_ax,left_index_prox_ay,left_index_prox_az,left_middle_mcp_flex,left_middle_pip_flex,left_middle_mid_yaw,left_middle_mid_pitch,left_middle_mid_roll,left_middle_mid_ax,left_middle_mid_ay,left_middle_mid_az,left_middle_prox_yaw,left_middle_prox_pitch,left_middle_prox_roll,left_middle_prox_ax,left_middle_prox_ay,left_middle_prox_az,left_ring_mcp_flex,left_ring_pip_flex,left_ring_mid_yaw,left_ring_mid_pitch,left_ring_mid_roll,left_ring_mid_ax,left_ring_mid_ay,left_ring_mid_az,left_ring_prox_yaw,left_ring_prox_pitch,left_ring_prox_roll,left_ring_prox_ax,left_ring_prox_ay,left_ring_prox_az,left_pinky_mcp_flex,left_pinky_pip_flex,left_pinky_mid_yaw,left_pinky_mid_pitch,left_pinky_mid_roll,left_pinky_mid_ax,left_pinky_mid_ay,left_pinky_mid_az,left_pinky_prox_yaw,left_pinky_prox_pitch,left_pinky_prox_roll,left_pinky_prox_ax,left_pinky_prox_ay,left_pinky_prox_az,left_wrist_ax,left_wrist_ay,left_wrist_az,left_wrist_heading,left_wrist_pitch,left_wrist_roll,right_hand,right_palm_mcp_flex,right_palm_pip_flex,right_palm_mid_yaw,right_palm_mid_pitch,right_palm_mid_roll,right_palm_mid_ax,right_palm_mid_ay,right_palm_mid_az,right_palm_prox_yaw,right_palm_prox_pitch,right_palm_prox_roll,right_palm_prox_ax,right_palm_prox_ay,right_palm_prox_az,right_thumb_mcp_flex,right_thumb_pip_flex,right_thumb_mid_yaw,right_thumb_mid_pitch,right_thumb_mid_roll,right_thumb_mid_ax,right_thumb_mid_ay,right_thumb_mid_az,right_thumb_prox_yaw,right_thumb_prox_pitch,right_thumb_prox_roll,right_thumb_prox_ax,right_thumb_prox_ay,right_thumb_prox_az,right_index_mcp_flex,right_index_pip_flex,right_index_mid_yaw,right_index_mid_pitch,right_index_mid_roll,right_index_mid_ax,right_index_mid_ay,right_index_mid_az,right_index_prox_yaw,right_index_prox_pitch,right_index_prox_roll,right_index_prox_ax,right_index_prox_ay,right_index_prox_az,right_middle_mcp_flex,right_middle_pip_flex,right_middle_mid_yaw,right_middle_mid_pitch,right_middle_mid_roll,right_middle_mid_ax,right_middle_mid_ay,right_middle_mid_az,right_middle_prox_yaw,right_middle_prox_pitch,right_middle_prox_roll,right_middle_prox_ax,right_middle_prox_ay,right_middle_prox_az,right_ring_mcp_flex,right_ring_pip_flex,right_ring_mid_yaw,right_ring_mid_pitch,right_ring_mid_roll,right_ring_mid_ax,right_ring_mid_ay,right_ring_mid_az,right_ring_prox_yaw,right_ring_prox_pitch,right_ring_prox_roll,right_ring_prox_ax,right_ring_prox_ay,right_ring_prox_az,right_pinky_mcp_flex,right_pinky_pip_flex,right_pinky_mid_yaw,right_pinky_mid_pitch,right_pinky_mid_roll,right_pinky_mid_ax,right_pinky_mid_ay,right_pinky_mid_az,right_pinky_prox_yaw,right_pinky_prox_pitch,right_pinky_prox_roll,right_pinky_prox_ax,right_pinky_prox_ay,right_pinky_prox_az,right_wrist_ax,right_wrist_ay,right_wrist_az,right_wrist_heading,right_wrist_pitch,right_wrist_roll
1,1,2026-04-18T15:41:03.162,1776490863252.3103,645499,0,1776490863256.8203,636189,0,LeftGlove,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2073,1709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1001,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2101,2255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1957,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44,2.06,9.12,243.56,13.69,-13.69,RightGlove,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2041,2102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2054,2045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2044,2041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3325,3449,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2156,2029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.87,0.92,8.3,168.94,-15.81,-13.69
1,2,2026-04-18T15:41:03.262,1776490863323.377,645540,51,1776490863323.558,636229,50,LeftGlove,-1,-1,0,0,0,0,0,0,0.09,-0.14,-0.17,0.0,-0.01,0.04,2071,1709,0.64,0.0,-0.08,0.01,0.01,0.06,1.38,-0.04,0.06,0.01,0.0,0.55,1000,2028,1.09,-0.49,0.11,0.02,0.01,0.52,0.48,-0.53,0.3,0.0,0.02,0.57,29,1991,-0.61,-0.4,0.22,0.0,0.03,0.14,-1.24,-0.61,0.38,0.0,0.03,0.1,2101,2259,-0.59,-0.57,0.28,0.01,0.03,0.06,-0.57,-0.52,0.02,0.02,0.03,-0.01,1959,1997,-0.89,-0.65,0.21,0.0,0.04,-0.01,0.24,-0.7,0.21,0.01,0.01,-0.02,2.35,2.4,9.22,243.63,13.75,-13.88,RightGlove,-1,-1,0,0,0,0,0,0,-0.17,0.47,-0.3,-0.07,0.06,0.16,2041,2100,-0.5,-0.05,-0.02,-0.15,0.13,0.02,-0.63,-0.1,-0.09,-0.12,0.21,0.02,2056,2043,1.17,0.28,0.15,0.11,0.01,0.14,0.27,0.09,0.06,0.12,0.04,-0.15,2053,2041,-0.58,-0.1,0.61,0.29,0.16,0.51,-1.31,-0.42,0.26,0.28,0.33,-0.24,3326,3448,3.06,-0.12,-0.31,-0.12,0.01,0.32,0,0,0,0,0,0,2159,2028,-0.62,-0.12,-0.05,0.02,0.01,0.22,2.94,-0.13,-0.11,0.02,-0.08,0.26,-2.58,1.73,9.93,168.44,-15.19,-15.13
1,3,2026-04-18T15:41:03.316,1776490863376.5312,645595,107,1776490863376.6885,636284,103,LeftGlove,-1,-1,0,0,0,0,0,0,0.09,-0.15,-0.18,0.0,-0.03,0.05,2071,1711,0.63,0.0,-0.08,0.02,0.02,0.04,1.38,-0.04,0.05,0.02,0.02,0.55,1001,2027,1.09,-0.49,0.1,0.0,0.01,0.52,0.47,-0.54,0.29,-0.03,0.0,0.59,38,1995,-0.61,-0.41,0.22,0.0,0.0,0.12,-1.24,-0.61,0.38,0.01,-0.01,0.1,2100,2259,-0.59,-0.58,0.28,0.01,-0.02,0.06,-0.57,-0.52,0.02,0.01,-0.01,-0.01,1960,1999,-0.89,-0.65,0.2,0.01,-0.01,-0.04,0.25,-0.71,0.21,0.01,-0.01,0.01,2.4,2.54,9.04,243.63,13.75,-14.0,RightGlove,-1,-1,0,0,0,0,0,0,-0.17,0.46,-0.34,0.03,0.02,0.03,2045,2105,-0.47,-0.09,-0.03,-0.04,0.1,-0.09,-0.57,-0.14,-0.11,0.03,0.14,-0.15,2057,2039,1.16,0.26,0.09,-0.02,-0.05,-0.17,0.26,0.07,0.0,-0.07,-0.14,-0.23,2054,2041,-0.65,-0.11,0.52,-0.07,0.05,0.24,-1.36,-0.43,0.18,0.29,-0.12,-0.15,3327,3453,3.04,-0.13,-0.36,0.13,0.13,0.1,0,0,0,0,0,0,2156,2034,-0.67,-0.12,-0.08,-0.07,-0.24,0.03,2.89,-0.13,-0.13,0.22,0.19,0.07,-2.45,3.01,9.1,168.31,-15.31,-16.31
1,4,2026-04-18T15:41:03.328,1776490863413.9285,645634,147,1776490863415.3584,636323,142,LeftGlove,-1,-1,0,0,0,0,0,0,0.09,-0.15,-0.18,0.0,-0.03,0.04,2073,1709,0.63,0.0,-0.08,0.0,0.0,0.04,1.38,-0.04,0.05,-0.01,0.02,0.55,1006,2027,1.09,-0.49,0.1,-0.02,-0.01,0.51,0.47,-0.54,0.29,-0.02,-0.02,0.57,37,1990,-0.61,-0.41,0.22,0.01,-0.02,0.12,-1.24,-0.61,0.37,0.01,-0.02,0.1,2101,2259,-0.59,-0.58,0.27,0.01,-0.03,0.06,-0.57,-0.52,0.02,0.0,-0.03,0.0,1961,2010,-0.89,-0.65,0.2,0.0,-0.01,-0.02,0.25,-0.71,0.21,0.0,-0.03,0.01,2.51,2.36,9.16,243.69,13.81,-13.94,RightGlove,-1,-1,0,0,0,0,0,0,-0.16,0.46,-0.36,0.05,-0.13,0.05,2043,2105,-0.45,-0.09,-0.03,0.04,0.03,-0.2,-0.56,-0.12,-0.12,0.14,0.06,-0.26,2063,2045,1.14,0.27,0.07,-0.14,-0.14,-0.17,0.24,0.05,-0.03,-0.1,-0.36,-0.36,2055,2039,-0.68,-0.11,0.47,0.13,-0.01,0.1,-1.38,-0.45,0.09,0.57,-0.15,-0.33,3327,3451,3.04,-0.11,-0.37,-0.01,0.17,0.17,0,0,0,0,0,0,2159,2035,-0.66,-0.12,-0.08,0.11,-0.21,0.15,2.89,-0.13,-0.12,0.03,0.1,0.16,-2.7,3.21,9.06,168.56,-15.69,-16.38
1,5,2026-04-18T15:41:03.367,1776490863452.2625,645673,186,1776490863452.3818,636362,181,LeftGlove,-1,-1,0,0,0,0,0,0,0.09,-0.15,-0.18,0.0,-0.02,0.05,2071,1711,0.63,0.0,-0.08,0.0,0.02,0.06,1.38,-0.04,0.05,0.02,0.02,0.55,1003,2027,1.09,-0.49,0.1,0.0,0.0,0.53,0.47,-0.54,0.29,-0.02,0.01,0.58,31,1993,-0.61,-0.41,0.22,-0.01,0.0,0.13,-1.24,-0.61,0.38,0.0,0.0,0.1,2103,2258,-0.59,-0.58,0.28,-0.01,0.0,0.08,-0.57,-0.52,0.02,-0.01,0.01,-0.01,1961,1999,-0.89,-0.65,0.21,-0.01,0.0,-0.02,0.25,-0.71,0.21,0.0,0.01,0.02,2.53,2.2,9.2,243.69,13.81,-13.81,RightGlove,-1,-1,0,0,0,0,0,0,-0.16,0.48,-0.35,0.1,-0.12,0.19,2044,2101,-0.46,-0.08,-0.02,-0.01,-0.05,-0.19,-0.59,-0.11,-0.1,0.02,-0.06,-0.17,2057,2045,1.12,0.27,0.1,-0.14,-0.07,-0.01,0.24,0.04,0.03,-0.1,-0.09,0.04,2054,2040,-0.66,-0.11,0.52,0.11,0.05,0.6,-1.36,-0.45,0.13,0.17,0.4,0.42,3325,3451,3.06,-0.1,-0.34,-0.08,-0.04,0.38,0,0,0,0,0,0,2159,2031,-0.64,-0.12,-0.06,0.13,-0.01,0.24,2.92,-0.14,-0.09,-0.14,-0.09,0.42,-2.94,4.08,8.86,168.94,-15.94,-16.5
1,6,2026-04-18T15:41:03.381,1776490863491.845,645712,226,1776490863493.1646,636401,220,LeftGlove,-1,-1,0,0,0,0,0,0,0.09,-0.15,-0.18,0.0,-0.01,0.05,2074,1709,0.64,0.0,-0.08,0.03,0.02,0.06,1.39,-0.04,0.06,0.03,0.0,0.56,1001,2030,1.09,-0.49,0.1,0.02,0.01,0.55,0.47,-0.54,0.29,0.0,0.02,0.59,30,1992,-0.61,-0.41,0.22,0.0,0.02,0.17,-1.24,-0.61,0.38,-0.03,0.01,0.13,2103,2259,-0.59,-0.57,0.28,-0.01,0.01,0.11,-0.57,-0.52,0.03,-0.03,0.02,0.01,1961,1999,-0.89,-0.65,0.21,0.0,0.01,0.0,0.25,-0.7,0.21,0.01,0.01,0.03,2.38,2.14,9.25,243.63,13.75,-13.75,RightGlove,-1,-1,0,0,0,0,0,0,-0.16,0.48,-0.34,0.01,-0.12,0.25,2059,2103,-0.48,-0.07,-0.01,-0.07,-0.09,-0.15,-0.61,-0.11,-0.09,-0.04,-0.14,-0.12,2060,2045,1.1,0.27,0.16,-0.08,0.03,0.27,0.24,0.04,0.11,0.04,0.14,0.25,2045,2041,-0.64,-0.12,0.55,0.25,0.02,0.58,-1.34,-0.45,0.15,0.31,0.39,0.25,3327,3454,3.08,-0.1,-0.33,-0.11,0.05,0.41,0,0,0,0,0,0,2159,2035,-0.62,-0.13,-0.05,0.2,-0.05,0.24,2.95,-0.14,-0.08,-0.16,0.0,0.42,-2.19,3.51,9.18,169.38,-15.69,-16.5
1,7,2026-04-18T15:41:03.406,1776490863530.18,645753,265,1776490863530.3032,636440,260,LeftGlove,-1,-1,0,0,0,0,0,0,0.09,-0.14,-0.17,0.01,-0.01,0.05,2072,1711,0.64,0.0,-0.07,0.04,0.02,0.05,1.39,-0.04,0.06,0.03,0.0,0.56,1001,2026,1.09,-0.49,0.11,0.02,-0.01,0.52,0.47,-0.54,0.29,0.01,0.02,0.58,31,1992,-0.61,-0.4,0.22,0.01,0.02,0.14,-1.24,-0.61,0.38,-0.01,0.01,0.09,2102,2260,-0.59,-0.57,0.28,0.0,0.01,0.06,-0.57,-0.51,0.03,0.0,0.0,-0.02,1960,2003,-0.89,-0.65,0.21,0.01,0.02,-0.04,0.25,-0.7,0.21,0.0,0.0,-0.01,2.27,2.18,9.2,243.56,13.63,-13.75,RightGlove,-1,-1,0,0,0,0,0,0,-0.16,0.48,-0.32,0.09,-0.15,0.15,2055,2103,-0.48,-0.07,0.0,0.01,0.04,-0.15,-0.62,-0.1,-0.07,0.05,0.04,-0.15,2057,2045,1.1,0.26,0.18,-0.02,-0.02,0.06,0.25,0.03,0.14,-0.01,-0.14,-0.17,2040,2041,-0.64,-0.13,0.55,0.17,0.05,0.41,-1.32,-0.45,0.13,0.34,0.12,-0.07,3320,3448,3.09,-0.1,-0.33,0.0,0.12,0.21,0,0,0,0,0,0,2153,2035,-0.61,-0.14,-0.06,0.05,-0.13,0.15,2.96,-0.14,-0.08,0.02,0.11,0.18,-2.13,2.89,9.18,169.69,-15.56,-16.25
1,8,2026-04-18T15:41:03.420,1776490863573.056,645791,305,1776490863573.2131,636480,300,LeftGlove,-1,-1,0,0,0,0,0,0,0.09,-0.14,-0.18,0.01,-0.01,0.04,2073,1709,0.64,0.0,-0.07,0.02,0.03,0.04,1.39,-0.04,0.06,0.02,0.01,0.56,1001,2025,1.09,-0.49,0.11,0.01,0.01,0.54,0.47,-0.54,0.29,-0.01,0.01,0.59,31,1992,-0.61,-0.4,0.22,0.0,0.01,0.14,-1.25,-0.61,0.38,-0.01,0.0,0.1,2102,2259,-0.59,-0.57,0.28,0.0,0.01,0.07,-0.57,-0.51,0.03,0.0,0.0,-0.01,1963,2002,-0.89,-0.65,0.21,0.01,0.01,-0.02,0.25,-0.7,0.21,0.01,0.0,0.0,2.27,2.27,9.19,243.5,13.63,-13.75,RightGlove,-1,-1,0,0,0,0,0,0,-0.15,0.48,-0.31,-0.21,0.0,0.0,2044,2102,-0.5,-0.07,0.02,-0.03,0.07,-0.1,-0.64,-0.1,-0.05,-0.01,0.05,-0.15,2055,2043,1.09,0.26,0.2,-0.06,-0.06,-0.03,0.25,0.03,0.17,-0.06,-0.12,-0.3,2045,2040,-0.62,-0.14,0.57,0.14,0.08,0.43,-1.31,-0.45,0.14,0.27,0.14,-0.06,3325,3451,3.11,-0.1,-0.31,0.02,0.02,0.25,0,0,0,0,0,0,2156,2039,-0.59,-0.15,-0.04,0.05,-0.03,0.2,2.99,-0.15,-0.06,-0.01,0.03,0.18,-2.61,2.28,8.87,169.88,-15.81,-15.81
1,9,2026-04-18T15:41:03.447,1776490863614.0876,645831,345,1776490863615.4497,636519,338,LeftGlove,-1,-1,0,0,0,0,0,0,0.08,-0.14,-0.18,0.01,-0.01,0.05,2071,1710,0.64,0.0,-0.07,0.02,0.01,0.04,1.38,-0.04,0.06,0.02,-0.01,0.56,1003,2029,1.09,-0.49,0.11,0.01,-0.01,0.53,0.47,-0.54,0.3,0.01,0.01,0.59,31,1993,-0.61,-0.4,0.22,0.01,0.01,0.14,-1.25,-0.61,0.38,0.0,0.0,0.1,2102,2258,-0.59,-0.57,0.28,0.01,0.0,0.07,-0.58,-0.52,0.03,0.01,0.0,0.0,1960,2003,-0.89,-0.65,0.21,0.01,0.0,-0.02,0.25,-0.7,0.21,0.01,-0.01,0.01,2.43,2.36,9.25,243.44,13.75,-13.75,RightGlove,-1,-1,0,0,0,0,0,0,-0.15,0.49,-0.28,0.0,0.05,0.14,2053,2101,-0.52,-0.05,0.04,-0.1,0.09,-0.07,-0.68,-0.09,-0.02,-0.16,0.1,-0.04,2059,2041,1.07,0.26,0.26,0.05,0.15,0.23,3.13,1.75,-2.56,0.0,0.01,0.03,2042,2041,-0.6,-0.14,0.61,0.12,0.15,0.76,-1.29,-0.45,0.18,-0.03,0.67,0.65,3327,3453,3.13,-0.1,-0.26,-0.05,-0.31,0.51,0,0,0,0,0,0,2159,2032,-0.57,-0.15,-0.02,0.17,-0.03,0.23,3.0,-0.14,-0.04,-0.23,0.04,0.07,-2.67,1.31,8.81,170.0,-16.06,-15.25
1,10,2026-04-18T15:41:03.457,1776490863649.658,645871,384,1776490863649.7646,636558,377,LeftGlove,-1,-1,0,0,0,0,0,0,0.08,-0.15,-0.18,0.0,-0.02,0.05,2079,1710,0.64,0.0,-0.07,0.01,0.01,0.05,1.38,-0.04,0.06,0.0,0.01,0.56,999,2031,1.09,-0.49,0.11,0.0,-0.01,0.54,0.48,-0.54,0.3,-0.01,0.0,0.6,33,1993,-0.61,-0.4,0.22,0.0,-0.01,0.14,-1.25,-0.61,0.38,0.0,-0.01,0.1,2104,2259,-0.59,-0.57,0.28,-0.01,-0.01,0.07,-0.58,-0.52,0.03,-0.01,-0.02,-0.01,1961,2004,-0.89,-0.65,0.21,0.0,-0.01,-0.02,0.25,-0.71,0.21,-0.01,-0.01,0.01,2.4,2.33,9.15,243.38,13.81,-13.81,RightGlove,-1,-1,0,0,0,0,0,0,-0.16,0.48,-0.26,0.0,0.11,0.16,2055,2095,-0.52,-0.05,0.05,-0.06,0.12,-0.07,-0.68,-0.08,-0.01,-0.08,0.14,-0.09,2059,2046,1.06,0.25,0.31,0.16,0.13,0.35,0.25,0.02,0.29,0.27,0.32,0.4,2045,2040,-0.61,-0.14,0.62,0.04,0.05,0.67,-1.3,-0.45,0.18,0.09,0.23,0.21,3322,3448,3.13,-0.09,-0.26,0.08,0.05,0.2,0,0,0,0,0,0,2157,2036,-0.58,-0.16,-0.02,0.03,-0.05,0.19,3.0,-0.15,-0.04,0.0,0.02,0.19,-2.31,2.64,9.19,169.94,-16.06,-15.69
