run_index,request_id,request_ts,left_glove_time_ms,left_time,right_glove_time_ms,right_time,left_hand,left_palm_mcp_flex,left_palm_pip_flex,left_palm_mid_yaw,left_palm_mid_pitch,left_palm_mid_roll,left_palm_mid_ax,left_palm_mid_ay,left_palm_mid_az,left_palm_prox_yaw,left_palm_prox_pitch,left_palm_prox_roll,left_palm_prox_ax,left_palm_prox_ay,left_palm_prox_az,left_thumb_mcp_flex,left_thumb_pip_flex,left_thumb_mid_yaw,left_thumb_mid_pitch,left_thumb_mid_roll,left_thumb_mid_ax,left_thumb_mid_ay,left_thumb_mid_az,left_thumb_prox_yaw,left_thumb_prox_pitch,left_thumb_prox_roll,left_thumb_prox_ax,left_thumb_prox_ay,left_thumb_prox_az,left_index_mcp_flex,left_index_pip_flex,left_index_mid_yaw,left_index_mid_pitch,left_index_mid_roll,left_index_mid_ax,left_index_mid_ay,left_index_mid_az,left_index_prox_yaw,left_index_prox_pitch,left_index_prox_roll,left_index_prox_ax,left_index_prox_ay,left_index_prox_az,left_middle_mcp_flex,left_middle_pip_flex,left_middle_mid_yaw,left_middle_mid_pitch,left_middle_mid_roll,left_middle_mid_ax,left_middle_mid_ay,left_middle_mid_az,left_middle_prox_yaw,left_middle_prox_pitch,left_middle_prox_roll,left_middle_prox_ax,left_middle_prox_ay,left_middle_prox_az,left_ring_mcp_flex,left_ring_pip_flex,left_ring_mid_yaw,left_ring_mid_pitch,left_ring_mid_roll,left_ring_mid_ax,left_ring_mid_ay,left_ring_mid_az,left_ring_prox_yaw,left_ring_prox_pitch,left_ring_prox_roll,left_ring_prox_ax,left_ring_prox_ay,left_ring_prox_az,left_pinky_mcp_flex,left_pinky_pip_flex,left_pinky_mid_yaw,left_pinky_mid_pitch,left_pinky_mid_roll,left_pinky_mid_ax,left_pinky_mid_ay,left_pinky_mid_az,left_pinky_prox_yaw,left_pinky_prox_pitch,left_pinky_prox_roll,left_pinky_prox_ax,left_pinky_prox_ay,left_pinky_prox_az,left_wrist_ax,left_wrist_ay,left_wrist_az,left_wrist_heading,left_wrist_pitch,left_wrist_roll,right_hand,right_palm_mcp_flex,right_palm_pip_flex,right_palm_mid_yaw,right_palm_mid_pitch,right_palm_mid_roll,right_palm_mid_ax,right_palm_mid_ay,right_palm_mid_az,right_palm_prox_yaw,right_palm_prox_pitch,right_palm_prox_roll,right_palm_prox_ax,right_palm_prox_ay,right_palm_prox_az,right_thumb_mcp_flex,right_thumb_pip_flex,right_thumb_mid_yaw,right_thumb_mid_pitch,right_thumb_mid_roll,right_thumb_mid_ax,right_thumb_mid_ay,right_thumb_mid_az,right_thumb_prox_yaw,right_thumb_prox_pitch,right_thumb_prox_roll,right_thumb_prox_ax,right_thumb_prox_ay,right_thumb_prox_az,right_index_mcp_flex,right_index_pip_flex,right_index_mid_yaw,right_index_mid_pitch,right_index_mid_roll,right_index_mid_ax,right_index_mid_ay,right_index_mid_az,right_index_prox_yaw,right_index_prox_pitch,right_index_prox_roll,right_index_prox_ax,right_index_prox_ay,right_index_prox_az,right_middle_mcp_flex,right_middle_pip_flex,right_middle_mid_yaw,right_middle_mid_pitch,right_middle_mid_roll,right_middle_mid_ax,right_middle_mid_ay,right_middle_mid_az,right_middle_prox_yaw,right_middle_prox_pitch,right_middle_prox_roll,right_middle_prox_ax,right_middle_prox_ay,right_middle_prox_az,right_ring_mcp_flex,right_ring_pip_flex,right_ring_mid_yaw,right_ring_mid_pitch,right_ring_mid_roll,right_ring_mid_ax,right_ring_mid_ay,right_ring_mid_az,right_ring_prox_yaw,right_ring_prox_pitch,right_ring_prox_roll,right_ring_prox_ax,right_ring_prox_ay,right_ring_prox_az,right_pinky_mcp_flex,right_pinky_pip_flex,right_pinky_mid_yaw,right_pinky_mid_pitch,right_pinky_mid_roll,right_pinky_mid_ax,right_pinky_mid_ay,right_pinky_mid_az,right_pinky_prox_yaw,right_pinky_prox_pitch,right_pinky_prox_roll,right_pinky_prox_ax,right_pinky_prox_ay,right_pinky_prox_az,right_wrist_ax,right_wrist_ay,right_wrist_az,right_wrist_heading,right_wrist_pitch,right_wrist_roll
14,1,2026-04-18T13:09:48.711,409871,0,396679,0,LeftGlove,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2065,1832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1047,2075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2136,2287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.46,5.0,7.94,81.81,-15.13,-32.06,RightGlove,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2086,2122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1751,1659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1607,2045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3349,3528,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2189,2067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,5.24,8.2,32.0,0.69,-32.88
14,2,2026-04-18T13:09:48.865,410094,231,396709,40,LeftGlove,-1,-1,0,0,0,0,0,0,0.18,0.26,-0.19,0.01,0.0,-0.06,2065,1845,0.05,-0.01,-0.05,0.01,-0.01,-0.09,0.06,0.0,-0.04,0.01,-0.01,0.08,1051,2077,0.38,0.32,0.35,0.01,-0.01,-0.23,0.09,0.41,0.05,0.01,-0.01,-0.45,0,2045,0.28,0.15,0.17,0.01,-0.02,-0.01,0.2,0.19,0.09,0.01,-0.01,-0.08,2137,2287,0.37,0.12,0.19,0.0,-0.01,0.01,0.13,0.16,0.17,0.0,-0.01,-0.13,2006,2021,0.26,0.17,0.2,0.0,-0.02,0.0,0.25,0.15,0.18,0.0,0.0,-0.09,-2.48,5.07,8.05,81.81,-15.13,-32.06,RightGlove,-1,-1,0,0,0,0,0,0,-0.21,-0.01,0.06,0.0,0.0,-0.01,2083,2131,-0.28,-0.01,0.03,-0.01,0.0,-0.01,-0.23,-0.02,0.03,-0.02,-0.01,-0.01,1751,1671,-0.2,-0.05,0.03,0.0,0.0,-0.01,-0.2,-0.07,0.02,0.0,0.0,-0.01,1609,2056,-0.21,-0.04,0.0,0.0,0.0,-0.01,-0.17,0.04,0.01,0.0,0.0,0.02,3341,3517,-0.21,0.03,0.01,0.0,0.0,0.0,0,0,0,0,0,0,2199,2065,-0.21,0.05,0.02,0.0,0.0,0.0,-0.15,0.04,0.01,0.0,0.0,-0.01,0.04,5.24,8.19,32.0,0.69,-32.88
14,3,2026-04-18T13:09:48.989,410137,278,396750,80,LeftGlove,-1,-1,0,0,0,0,0,0,0.18,0.26,-0.19,0.0,0.0,-0.06,2063,1845,0.05,-0.01,-0.05,0.01,0.0,-0.08,0.06,0.01,-0.04,0.0,0.0,0.08,1049,2077,0.38,0.32,0.35,0.0,0.0,-0.22,0.09,0.41,0.05,0.0,0.0,-0.45,0,2046,0.28,0.15,0.18,0.0,0.0,-0.01,0.2,0.19,0.09,0.0,-0.01,-0.1,2136,2287,0.37,0.12,0.19,0.0,0.0,0.0,0.13,0.16,0.17,0.0,0.0,-0.15,2008,2022,0.26,0.17,0.2,0.0,0.0,-0.02,0.25,0.15,0.18,0.0,0.0,-0.11,-2.48,5.02,7.99,81.81,-15.13,-32.06,RightGlove,-1,-1,0,0,0,0,0,0,-0.21,-0.01,0.06,0.0,0.0,-0.01,2083,2127,-0.28,-0.01,0.03,0.0,0.0,0.0,-0.23,-0.02,0.03,-0.02,-0.01,-0.01,1755,1668,-0.2,-0.05,0.03,0.0,0.0,-0.01,-0.2,-0.07,0.02,0.0,0.0,-0.01,1607,2046,-0.21,-0.04,0.0,0.0,0.01,-0.02,-0.17,0.04,0.01,0.01,0.0,0.01,3349,3529,-0.21,0.03,0.01,0.01,0.0,0.0,0,0,0,0,0,0,2197,2068,-0.21,0.05,0.02,0.01,0.0,0.01,-0.15,0.04,0.01,0.0,0.0,-0.02,0.04,5.26,8.27,32.0,0.69,-32.94
14,4,2026-04-18T13:09:49.028,410182,320,396791,120,LeftGlove,-1,-1,0,0,0,0,0,0,0.18,0.26,-0.19,0.0,0.0,-0.06,2063,1847,0.05,-0.01,-0.05,-0.01,0.01,-0.08,0.06,0.01,-0.04,0.0,0.0,0.07,1051,2077,0.38,0.32,0.35,0.0,0.0,-0.23,0.09,0.41,0.05,0.0,0.0,-0.46,0,2054,0.28,0.15,0.18,0.0,0.0,-0.01,0.2,0.19,0.09,0.0,0.0,-0.1,2138,2287,0.37,0.12,0.19,0.0,0.0,-0.01,0.13,0.16,0.17,0.0,-0.01,-0.15,2007,2021,-0.21,-1.67,1.94,-0.54,-0.72,1.02,0.25,0.15,0.18,0.0,0.0,-0.11,-2.5,5.01,8.02,81.81,-15.13,-32.06,RightGlove,-1,-1,0,0,0,0,0,0,-0.21,-0.01,0.06,0.0,0.0,-0.01,2083,2125,-0.28,-0.01,0.03,0.0,0.0,-0.01,-0.23,-0.02,0.03,0.0,0.0,-0.01,1752,1659,-0.2,-0.05,0.03,0.0,0.0,-0.02,-0.2,-0.07,0.02,0.0,0.01,-0.01,1606,2055,-0.21,-0.04,0.0,0.01,0.0,-0.01,-0.17,0.04,0.01,0.0,0.01,0.02,3347,3528,-0.21,0.03,0.01,0.0,0.0,0.01,0,0,0,0,0,0,2195,2067,-0.21,0.05,0.02,0.0,0.0,0.01,-0.15,0.04,0.01,0.0,0.01,-0.01,0.0,5.26,8.22,32.0,0.69,-32.94
14,5,2026-04-18T13:09:49.046,410226,367,396831,160,LeftGlove,-1,-1,0,0,0,0,0,0,0.18,0.26,-0.19,0.0,0.0,-0.06,2063,1847,0.05,-0.01,-0.05,0.0,0.0,-0.09,0.06,0.01,-0.04,-0.01,0.0,0.07,1050,2079,0.38,0.32,0.35,0.0,0.0,-0.22,0.09,0.41,0.05,0.0,0.0,-0.45,0,2045,0.28,0.15,0.18,0.0,0.0,-0.01,0.2,0.19,0.09,0.0,0.0,-0.1,2137,2291,0.37,0.12,0.19,0.0,0.0,0.0,0.13,0.17,0.17,0.0,0.0,-0.14,2009,2023,0.26,0.17,0.2,0.0,0.0,-0.01,0.25,0.15,0.18,0.0,0.0,-0.1,-2.46,5.0,7.99,81.81,-15.13,-32.06,RightGlove,-1,-1,0,0,0,0,0,0,-0.21,-0.01,0.06,0.01,0.0,-0.01,2087,2132,-0.28,-0.01,0.03,0.0,0.0,0.0,-0.23,-0.02,0.03,0.0,-0.01,-0.01,1752,1655,-0.2,-0.05,0.03,0.0,0.0,-0.02,-0.2,-0.07,0.02,0.0,0.0,-0.02,1607,2047,-0.21,-0.04,0.0,0.0,0.0,-0.01,-0.17,0.04,0.01,0.01,0.0,0.01,3347,3527,-0.21,0.03,0.01,0.01,0.0,0.0,0,0,0,0,0,0,2195,2069,-0.21,0.05,0.02,0.0,0.0,0.01,-0.15,0.04,0.01,0.0,0.0,-0.02,0.03,5.24,8.24,32.0,0.69,-32.94
14,6,2026-04-18T13:09:49.068,410267,409,396871,200,LeftGlove,-1,-1,0,0,0,0,0,0,0.18,0.26,-0.19,0.0,0.0,-0.07,2063,1845,0.06,-0.01,-0.05,0.0,0.0,-0.08,0.06,0.01,-0.04,0.0,0.0,0.08,1051,2079,0.38,0.32,0.35,-0.01,0.0,-0.22,0.09,0.41,0.05,0.0,0.01,-0.45,0,2054,0.28,0.15,0.18,0.01,0.01,-0.02,0.2,0.19,0.09,0.0,0.0,-0.09,2135,2288,0.37,0.12,0.19,0.01,0.0,0.0,0.12,0.17,0.17,0.0,0.0,-0.15,2009,2022,0.26,0.17,0.2,0.01,0.0,-0.02,0.25,0.15,0.18,0.0,0.0,-0.11,-2.49,5.02,7.94,81.81,-15.13,-32.06,RightGlove,-1,-1,0,0,0,0,0,0,-0.21,-0.01,0.06,0.0,0.0,0.0,2087,2130,-0.28,-0.01,0.03,0.0,0.0,0.01,-0.23,-0.02,0.03,0.01,0.0,-0.02,1751,1659,-0.2,-0.05,0.03,0.0,0.0,-0.01,-0.2,-0.07,0.02,0.01,0.0,-0.01,1609,2047,-0.21,-0.04,0.0,0.0,0.0,-0.01,-0.17,0.04,0.01,0.0,0.0,0.02,3345,3527,-0.21,0.03,0.01,0.01,0.0,-0.01,0,0,0,0,0,0,2193,2068,-0.21,0.05,0.02,0.01,0.0,0.0,-0.15,0.04,0.01,0.0,0.0,-0.02,0.02,5.27,8.18,32.0,0.69,-32.94
14,7,2026-04-18T13:09:49.084,410310,449,396910,239,LeftGlove,-1,-1,0,0,0,0,0,0,0.18,0.26,-0.19,0.0,-0.01,-0.07,2067,1847,0.05,-0.01,-0.05,-0.01,0.0,-0.09,0.06,0.01,-0.04,0.0,0.0,0.08,1045,2083,0.38,0.32,0.35,-0.01,0.0,-0.23,0.09,0.41,0.05,0.0,0.0,-0.46,0,2053,0.28,0.15,0.18,0.0,0.0,-0.03,0.2,0.19,0.09,-0.01,0.0,-0.11,2135,2287,0.37,0.12,0.19,0.0,0.0,-0.03,0.13,0.17,0.17,0.0,-0.01,-0.15,2008,2023,0.26,0.17,0.2,0.0,0.0,-0.04,0.25,0.15,0.18,0.0,0.0,-0.13,-2.45,5.11,8.02,81.81,-15.06,-32.06,RightGlove,-1,-1,0,0,0,0,0,0,-0.21,-0.01,0.06,0.0,0.0,-0.01,2085,2126,-0.28,-0.01,0.03,0.0,0.0,0.0,-0.23,-0.02,0.03,0.0,0.0,-0.02,1749,1661,-0.2,-0.05,0.03,0.0,0.0,-0.02,-0.2,-0.07,0.02,0.0,0.0,-0.01,1608,2045,-0.21,-0.04,0.0,0.0,0.0,-0.02,-0.17,0.04,0.01,0.0,0.0,0.02,3348,3527,-0.21,0.03,0.01,0.0,0.0,0.0,0,0,0,0,0,0,2189,2065,-0.21,0.05,0.02,0.01,-0.01,0.01,-0.15,0.04,0.01,0.01,0.0,-0.02,0.04,5.25,8.23,32.0,0.69,-32.94
14,8,2026-04-18T13:09:49.108,410350,489,396950,279,LeftGlove,-1,-1,0,0,0,0,0,0,0.18,0.26,-0.19,0.0,0.0,-0.06,2066,1847,0.05,-0.01,-0.05,0.01,0.0,-0.08,0.06,0.01,-0.04,0.01,0.0,0.09,1049,2079,0.38,0.32,0.35,-0.01,0.0,-0.22,0.09,0.41,0.05,0.0,0.0,-0.44,0,2046,0.28,0.15,0.18,-0.01,0.0,-0.01,0.2,0.19,0.09,-0.01,0.01,-0.1,2135,2291,0.37,0.12,0.19,0.0,0.0,0.01,0.13,0.16,0.17,0.0,0.01,-0.14,2008,2025,0.26,0.17,0.2,0.0,0.0,-0.01,0.25,0.15,0.18,0.0,0.01,-0.11,-2.49,4.94,7.99,81.81,-15.06,-32.06,RightGlove,-1,-1,0,0,0,0,0,0,-0.21,-0.01,0.06,-0.01,0.0,-0.01,2085,2133,-0.28,-0.01,0.03,0.0,0.0,0.0,-0.23,-0.02,0.03,-0.01,0.0,-0.01,1749,1659,-0.2,-0.05,0.03,0.01,0.0,-0.01,-0.2,-0.07,0.02,0.01,0.0,-0.02,1606,2046,-0.21,-0.04,0.0,0.01,0.01,-0.01,-0.17,0.04,0.01,0.01,0.01,0.02,3350,3529,-0.21,0.03,0.01,0.01,0.01,0.0,0,0,0,0,0,0,2195,2069,-0.21,0.05,0.02,0.01,0.01,0.01,-0.15,0.04,0.01,0.0,0.01,-0.02,0.05,5.29,8.22,32.0,0.69,-32.94
14,9,2026-04-18T13:09:49.131,410390,529,396991,320,LeftGlove,-1,-1,0,0,0,0,0,0,0.18,0.26,-0.19,0.0,0.0,-0.07,2067,1845,0.05,-0.01,-0.05,0.0,0.01,-0.09,0.06,0.0,-0.04,0.0,0.0,0.07,1050,2083,0.38,0.32,0.35,0.0,0.0,-0.22,0.09,0.41,0.05,0.01,0.0,-0.46,0,2055,0.28,0.15,0.17,0.01,0.0,-0.01,0.2,0.19,0.09,0.01,0.0,-0.1,2137,2291,0.37,0.12,0.19,0.01,0.0,-0.02,0.13,0.16,0.17,0.0,-0.01,-0.15,2009,2021,0.26,0.17,0.2,0.01,0.0,-0.04,0.25,0.15,0.17,0.0,-0.01,-0.12,-2.39,5.17,8.01,81.81,-15.06,-32.13,RightGlove,-1,-1,0,0,0,0,0,0,-0.21,-0.01,0.06,0.0,0.0,-0.01,2085,2131,-0.28,-0.01,0.03,0.0,0.0,0.0,-0.23,-0.02,0.03,0.02,0.01,-0.02,1750,1669,-0.2,-0.05,0.03,-0.01,0.0,-0.01,-0.2,-0.07,0.02,-0.01,0.0,0.0,1608,2046,-0.21,-0.04,0.0,-0.01,-0.01,-0.02,-0.17,0.04,0.01,-0.01,0.0,0.02,3349,3525,-0.21,0.03,0.01,-0.01,-0.01,0.0,0,0,0,0,0,0,2197,2067,-0.21,0.05,0.02,-0.01,-0.01,0.0,-0.15,0.04,0.01,-0.01,-0.01,-0.01,0.28,5.23,8.23,32.0,0.81,-32.88
14,10,2026-04-18T13:09:49.149,410430,569,397031,359,LeftGlove,-1,-1,0,0,0,0,0,0,0.18,0.26,-0.19,-0.01,0.0,-0.05,2067,1847,0.05,-0.01,-0.05,0.0,-0.01,-0.07,0.06,0.0,-0.04,0.0,0.0,0.1,1048,2077,0.38,0.32,0.35,-0.02,-0.01,-0.21,0.09,0.41,0.05,-0.01,0.0,-0.43,0,2053,0.28,0.15,0.17,-0.02,0.0,0.0,0.2,0.19,0.09,-0.03,0.01,-0.09,2137,2288,0.37,0.11,0.19,-0.02,0.0,0.0,0.13,0.16,0.17,-0.01,0.0,-0.15,2006,2021,0.26,0.16,0.2,-0.02,0.01,-0.01,0.25,0.14,0.17,-0.02,0.01,-0.09,-2.48,5.15,8.02,81.81,-15.06,-32.19,RightGlove,-1,-1,0,0,0,0,0,0,-0.21,-0.01,0.06,-0.02,-0.01,-0.02,2087,2129,-0.27,-0.01,0.03,-0.01,0.0,-0.02,-0.23,-0.02,0.03,-0.02,-0.01,-0.02,1756,1660,-0.2,-0.05,0.03,-0.01,0.0,-0.02,-0.2,-0.07,0.02,-0.01,0.0,-0.01,1606,2055,-0.21,-0.04,0.0,-0.01,0.0,-0.02,-0.17,0.03,0.01,-0.01,0.0,0.01,3349,3520,-0.21,0.03,0.01,0.0,0.0,0.0,0,0,0,0,0,0,2197,2069,-0.21,0.05,0.02,0.0,-0.01,0.0,-0.15,0.04,0.01,-0.01,0.0,-0.02,0.02,5.31,8.25,32.0,0.81,-32.88
