run_index,request_id,request_ts,left_recv_time_ms,left_glove_time_ms,left_time,right_recv_time_ms,right_glove_time_ms,right_time,left_hand,left_palm_mcp_flex,left_palm_pip_flex,left_palm_mid_yaw,left_palm_mid_pitch,left_palm_mid_roll,left_palm_mid_ax,left_palm_mid_ay,left_palm_mid_az,left_palm_prox_yaw,left_palm_prox_pitch,left_palm_prox_roll,left_palm_prox_ax,left_palm_prox_ay,left_palm_prox_az,left_thumb_mcp_flex,left_thumb_pip_flex,left_thumb_mid_yaw,left_thumb_mid_pitch,left_thumb_mid_roll,left_thumb_mid_ax,left_thumb_mid_ay,left_thumb_mid_az,left_thumb_prox_yaw,left_thumb_prox_pitch,left_thumb_prox_roll,left_thumb_prox_ax,left_thumb_prox_ay,left_thumb_prox_az,left_index_mcp_flex,left_index_pip_flex,left_index_mid_yaw,left_index_mid_pitch,left_index_mid_roll,left_index_mid_ax,left_index_mid_ay,left_index_mid_az,left_index_prox_yaw,left_index_prox_pitch,left_index_prox_roll,left_index_prox_ax,left_index_prox_ay,left_index_prox_az,left_middle_mcp_flex,left_middle_pip_flex,left_middle_mid_yaw,left_middle_mid_pitch,left_middle_mid_roll,left_middle_mid_ax,left_middle_mid_ay,left_middle_mid_az,left_middle_prox_yaw,left_middle_prox_pitch,left_middle_prox_roll,left_middle_prox_ax,left_middle_prox_ay,left_middle_prox_az,left_ring_mcp_flex,left_ring_pip_flex,left_ring_mid_yaw,left_ring_mid_pitch,left_ring_mid_roll,left_ring_mid_ax,left_ring_mid_ay,left_ring_mid_az,left_ring_prox_yaw,left_ring_prox_pitch,left_ring_prox_roll,left_ring_prox_ax,left_ring_prox_ay,left_ring_prox_az,left_pinky_mcp_flex,left_pinky_pip_flex,left_pinky_mid_yaw,left_pinky_mid_pitch,left_pinky_mid_roll,left_pinky_mid_ax,left_pinky_mid_ay,left_pinky_mid_az,left_pinky_prox_yaw,left_pinky_prox_pitch,left_pinky_prox_roll,left_pinky_prox_ax,left_pinky_prox_ay,left_pinky_prox_az,left_wrist_ax,left_wrist_ay,left_wrist_az,left_wrist_heading,left_wrist_pitch,left_wrist_roll,right_hand,right_palm_mcp_flex,right_palm_pip_flex,right_palm_mid_yaw,right_palm_mid_pitch,right_palm_mid_roll,right_palm_mid_ax,right_palm_mid_ay,right_palm_mid_az,right_palm_prox_yaw,right_palm_prox_pitch,right_palm_prox_roll,right_palm_prox_ax,right_palm_prox_ay,right_palm_prox_az,right_thumb_mcp_flex,right_thumb_pip_flex,right_thumb_mid_yaw,right_thumb_mid_pitch,right_thumb_mid_roll,right_thumb_mid_ax,right_thumb_mid_ay,right_thumb_mid_az,right_thumb_prox_yaw,right_thumb_prox_pitch,right_thumb_prox_roll,right_thumb_prox_ax,right_thumb_prox_ay,right_thumb_prox_az,right_index_mcp_flex,right_index_pip_flex,right_index_mid_yaw,right_index_mid_pitch,right_index_mid_roll,right_index_mid_ax,right_index_mid_ay,right_index_mid_az,right_index_prox_yaw,right_index_prox_pitch,right_index_prox_roll,right_index_prox_ax,right_index_prox_ay,right_index_prox_az,right_middle_mcp_flex,right_middle_pip_flex,right_middle_mid_yaw,right_middle_mid_pitch,right_middle_mid_roll,right_middle_mid_ax,right_middle_mid_ay,right_middle_mid_az,right_middle_prox_yaw,right_middle_prox_pitch,right_middle_prox_roll,right_middle_prox_ax,right_middle_prox_ay,right_middle_prox_az,right_ring_mcp_flex,right_ring_pip_flex,right_ring_mid_yaw,right_ring_mid_pitch,right_ring_mid_roll,right_ring_mid_ax,right_ring_mid_ay,right_ring_mid_az,right_ring_prox_yaw,right_ring_prox_pitch,right_ring_prox_roll,right_ring_prox_ax,right_ring_prox_ay,right_ring_prox_az,right_pinky_mcp_flex,right_pinky_pip_flex,right_pinky_mid_yaw,right_pinky_mid_pitch,right_pinky_mid_roll,right_pinky_mid_ax,right_pinky_mid_ay,right_pinky_mid_az,right_pinky_prox_yaw,right_pinky_prox_pitch,right_pinky_prox_roll,right_pinky_prox_ax,right_pinky_prox_ay,right_pinky_prox_az,right_wrist_ax,right_wrist_ay,right_wrist_az,right_wrist_heading,right_wrist_pitch,right_wrist_roll
15,1,2026-04-18T13:13:50.426,1776482030643.3796,651655,0,1776482030643.799,638242,0,LeftGlove,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2056,1816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1043,2079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2137,2287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1997,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.26,2.59,9.1,83.13,-18.88,-15.81,RightGlove,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2087,2130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1741,1672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1614,2045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3342,3517,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2195,2067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,5.08,8.55,28.19,1.31,-30.69
15,2,2026-04-18T13:13:50.631,1776482030879.1143,651942,298,1776482030879.3242,638528,295,LeftGlove,-1,-1,0,0,0,0,0,0,0.45,0.1,-0.09,0.0,0.0,-0.02,2055,1819,0.29,-0.01,-0.11,-0.01,0.0,-0.04,0.21,0.0,-0.02,-0.02,0.0,0.16,1044,2077,0.36,0.43,0.44,0.01,0.01,-0.32,0.33,0.45,-0.01,0.01,-0.01,-0.5,0,2043,0.54,0.13,0.1,0.03,-0.01,-0.05,0.49,0.17,0.06,0.01,0.0,-0.11,2137,2288,0.62,0.08,0.13,0.02,0.0,-0.06,0.46,-0.02,0.21,0.0,-0.03,-0.16,1998,2020,0.56,0.1,0.1,0.03,0.0,-0.08,0.55,0.07,0.18,0.0,-0.02,-0.15,-3.15,2.54,8.78,83.13,-18.88,-15.75,RightGlove,-1,-1,0,0,0,0,0,0,-0.34,-0.04,0.05,-0.01,0.0,-0.02,2085,2133,-0.37,0.01,0.03,-0.01,-0.01,0.03,-0.36,0.06,0.02,-0.02,-0.01,0.05,1741,1671,-0.41,-0.05,0.04,0.0,0.01,-0.03,-0.44,-0.06,0.0,0.0,-0.01,-0.02,1619,2045,-0.34,0.03,0.02,0.02,0.01,0.0,-0.36,0.08,0.06,0.03,0.0,0.01,3341,3517,-0.34,-0.01,0.02,0.0,0.0,-0.02,0,0,0,0,0,0,2187,2072,-0.33,0.05,0.0,0.0,0.0,-0.01,-0.28,0.03,0.0,-0.01,0.01,-0.02,0.12,5.11,8.38,28.19,1.25,-30.69
15,3,2026-04-18T13:13:50.649,1776482030933.589,651992,348,1776482030922.0278,638567,334,LeftGlove,-1,-1,0,0,0,0,0,0,0.45,0.1,-0.09,0.0,-0.01,-0.01,2056,1817,0.29,-0.01,-0.11,-0.01,0.0,-0.05,0.21,0.0,-0.02,-0.01,0.0,0.15,1044,2077,0.36,0.43,0.44,0.01,0.0,-0.31,0.34,0.45,-0.01,0.0,-0.01,-0.49,0,2043,0.54,0.13,0.1,0.0,-0.01,-0.03,0.49,0.17,0.06,0.01,-0.01,-0.1,2137,2290,0.62,0.08,0.13,0.0,0.0,-0.03,0.46,-0.02,0.21,0.0,-0.01,-0.13,2003,2021,0.56,0.1,0.1,0.0,0.0,-0.03,0.55,0.07,0.18,-0.01,-0.01,-0.11,-3.15,2.6,8.87,83.13,-18.88,-15.75,RightGlove,-1,-1,0,0,0,0,0,0,-0.34,-0.04,0.06,0.0,0.0,-0.02,2087,2131,-0.37,0.01,0.03,0.0,0.0,0.01,-0.36,0.07,0.02,0.0,-0.01,0.03,1745,1676,-0.41,-0.05,0.04,0.0,0.0,-0.01,-0.44,-0.05,0.0,0.0,0.0,-0.01,1613,2046,-0.34,0.03,0.02,0.01,0.0,0.01,-0.36,0.08,0.06,0.01,0.0,0.03,3350,3519,-0.34,-0.01,0.02,0.0,0.0,0.0,0,0,0,0,0,0,2191,2069,-0.33,0.05,0.0,0.01,-0.01,0.0,-0.28,0.03,0.0,0.01,0.0,-0.01,0.15,5.09,8.51,28.19,1.31,-30.69
15,4,2026-04-18T13:13:50.854,1776482030968.7632,652034,389,1776482030963.274,638606,375,LeftGlove,-1,-1,0,0,0,0,0,0,0.45,0.1,-0.09,0.0,0.0,0.0,2055,1819,0.29,-0.01,-0.11,-0.01,-0.01,-0.05,0.21,0.0,-0.02,-0.02,0.0,0.17,1045,2083,0.36,0.43,0.44,0.0,-0.01,-0.32,0.33,0.45,-0.01,0.0,-0.01,-0.47,0,2043,0.54,0.13,0.1,-0.01,0.0,-0.02,0.49,0.17,0.06,-0.01,0.0,-0.1,2135,2287,0.62,0.08,0.13,-0.01,0.0,-0.01,0.46,-0.02,0.21,-0.01,-0.01,-0.12,1997,2021,0.56,0.1,0.1,0.0,0.0,-0.03,0.55,0.07,0.18,-0.01,0.0,-0.1,-3.07,2.45,8.88,83.13,-18.88,-15.81,RightGlove,-1,-1,0,0,0,0,0,0,-0.34,-0.04,0.06,0.0,0.0,-0.01,2084,2129,-0.37,0.01,0.03,-0.01,-0.01,0.03,-0.36,0.07,0.02,0.0,0.0,0.06,1741,1673,-0.41,-0.05,0.04,0.0,-0.01,-0.01,-0.44,-0.06,0.0,0.0,-0.01,0.0,1617,2044,-0.34,0.03,0.02,0.0,-0.01,0.01,-0.36,0.08,0.06,0.0,0.0,0.02,3341,3525,-0.34,-0.01,0.02,0.0,-0.01,0.01,0,0,0,0,0,0,2195,2073,-0.33,0.05,0.0,0.0,-0.01,0.01,-0.28,0.03,0.0,-0.01,0.0,-0.02,0.11,5.09,8.35,28.19,1.31,-30.69
15,5,2026-04-18T13:13:50.877,1776482031008.8777,652075,430,1776482031002.4583,638647,418,LeftGlove,-1,-1,0,0,0,0,0,0,0.45,0.1,-0.09,0.0,0.0,-0.01,2055,1817,0.29,-0.01,-0.11,-0.01,0.01,-0.04,0.21,0.0,-0.02,0.0,0.0,0.17,1045,2079,0.36,0.43,0.44,-0.01,0.01,-0.3,0.33,0.45,-0.01,0.0,0.01,-0.48,0,2045,0.54,0.13,0.1,0.0,0.0,-0.01,0.49,0.17,0.06,0.01,0.01,-0.08,2135,2288,0.62,0.08,0.13,0.0,0.0,0.0,0.46,-0.02,0.21,0.0,0.0,-0.11,2003,2019,0.56,0.1,0.1,0.0,0.0,-0.02,0.55,0.07,0.18,0.0,0.0,-0.09,-3.03,2.67,8.96,83.13,-18.81,-15.88,RightGlove,-1,-1,0,0,0,0,0,0,-0.34,-0.04,0.05,0.01,0.0,-0.03,2087,2127,-0.37,0.01,0.03,0.01,0.01,0.02,-0.36,0.07,0.02,0.02,0.02,0.04,1740,1671,-0.41,-0.05,0.04,0.01,0.01,-0.01,-0.44,-0.06,0.0,0.01,0.0,0.0,1612,2045,-0.34,0.03,0.02,0.01,0.01,0.01,-0.36,0.08,0.06,0.01,0.01,0.02,3346,3519,-0.34,-0.01,0.02,0.01,0.01,0.01,0,0,0,0,0,0,2199,2068,-0.33,0.05,0.0,0.01,0.01,0.01,-0.28,0.03,0.0,0.01,0.01,0.0,0.25,5.07,8.4,28.19,1.38,-30.63
15,6,2026-04-18T13:13:50.884,1776482031052.3984,652115,470,1776482031046.6333,638690,459,LeftGlove,-1,-1,0,0,0,0,0,0,0.45,0.1,-0.09,0.0,0.0,0.0,2056,1817,0.29,-0.01,-0.11,0.0,0.0,-0.04,0.21,0.0,-0.02,0.0,0.0,0.17,1043,2079,0.36,0.43,0.44,0.0,-0.01,-0.31,0.33,0.45,-0.01,-0.01,0.0,-0.46,0,2044,0.54,0.13,0.1,-0.01,0.0,-0.02,0.49,0.17,0.05,-0.01,0.0,-0.08,2136,2287,0.62,0.08,0.13,-0.01,0.0,0.01,0.46,-0.02,0.2,0.0,0.01,-0.11,1999,2021,0.56,0.1,0.1,-0.01,0.0,0.0,0.55,0.07,0.18,0.0,0.01,-0.06,-3.14,2.61,9.0,83.13,-18.81,-15.88,RightGlove,-1,-1,0,0,0,0,0,0,-0.34,-0.04,0.05,-0.01,0.0,-0.01,2085,2131,-0.37,0.01,0.03,-0.01,0.0,0.01,-0.36,0.06,0.02,-0.02,-0.01,0.04,1747,1673,-0.41,-0.05,0.04,-0.01,-0.01,-0.02,-0.44,-0.06,0.0,-0.02,-0.01,0.0,1613,2045,-0.34,0.03,0.02,-0.02,0.0,0.01,-0.36,0.08,0.06,-0.01,-0.01,0.01,3341,3519,-0.34,-0.01,0.02,-0.03,-0.01,0.0,0,0,0,0,0,0,2197,2071,-0.33,0.05,0.0,-0.02,0.0,-0.01,-0.28,0.02,0.0,-0.02,-0.01,-0.01,0.25,5.09,8.47,28.19,1.44,-30.63
15,7,2026-04-18T13:13:50.927,1776482031092.143,652155,510,1776482031086.5994,638731,500,LeftGlove,-1,-1,0,0,0,0,0,0,0.45,0.1,-0.09,0.0,0.0,0.0,2057,1817,0.29,-0.01,-0.11,0.01,-0.01,-0.06,0.21,0.0,-0.02,0.01,0.0,0.17,1045,2084,0.36,0.43,0.44,0.02,0.0,-0.31,0.33,0.45,-0.02,0.01,-0.01,-0.47,0,2043,0.54,0.13,0.1,0.01,0.0,-0.01,0.49,0.17,0.05,0.0,0.0,-0.07,2137,2287,0.62,0.08,0.13,0.0,-0.02,0.0,0.46,-0.02,0.2,0.01,-0.01,-0.1,1999,2023,0.56,0.1,0.1,0.01,-0.02,0.0,0.55,0.07,0.18,0.01,-0.01,-0.07,-3.12,2.52,8.94,83.13,-18.88,-15.88,RightGlove,-1,-1,0,0,0,0,0,0,-0.33,-0.04,0.05,0.0,0.0,-0.01,2085,2133,-0.36,0.01,0.03,0.0,0.0,0.01,-0.35,0.06,0.02,-0.02,0.0,0.03,1741,1673,-0.41,-0.05,0.04,0.0,-0.01,-0.01,-0.44,-0.06,0.0,-0.01,0.0,0.0,1613,2045,-0.34,0.03,0.02,-0.01,0.0,0.01,-0.36,0.08,0.06,0.0,0.0,0.03,3347,3519,-0.34,-0.01,0.01,0.0,0.0,0.01,0,0,0,0,0,0,2199,2071,3.07,0.33,0.1,0.32,0.11,-0.09,-0.28,0.02,0.0,0.01,0.0,-0.01,0.13,5.11,8.44,28.13,1.44,-30.63
15,8,2026-04-18T13:13:50.954,1776482031128.8115,652195,550,1776482031123.096,638772,538,LeftGlove,-1,-1,0,0,0,0,0,0,0.45,0.1,-0.09,0.01,0.0,-0.01,2057,1819,0.29,-0.01,-0.11,0.0,0.01,-0.04,0.21,0.0,-0.02,0.0,0.0,0.17,1042,2084,0.36,0.43,0.44,0.0,0.0,-0.3,0.33,0.45,-0.02,-0.01,0.01,-0.47,0,2043,0.54,0.13,0.1,0.0,0.01,-0.02,0.49,0.17,0.05,0.01,0.01,-0.07,2137,2293,0.62,0.08,0.13,0.0,0.01,0.0,0.46,-0.02,0.2,0.0,0.01,-0.1,2003,2023,0.56,0.1,0.1,0.0,0.0,0.0,0.55,0.07,0.18,0.01,0.0,-0.07,-3.01,2.45,8.86,83.13,-18.81,-15.81,RightGlove,-1,-1,0,0,0,0,0,0,-0.33,-0.04,0.05,0.0,0.0,-0.01,2089,2133,-0.36,0.01,0.03,0.0,0.0,0.02,-0.35,0.06,0.02,0.01,0.01,0.05,1739,1675,-0.41,-0.05,0.03,0.0,0.01,-0.01,-0.44,-0.06,0.0,0.0,0.0,0.0,1614,2046,-0.34,0.03,0.02,0.0,0.01,0.01,-0.36,0.08,0.06,0.0,0.0,0.02,3341,3518,-0.34,-0.01,0.01,0.0,0.01,0.0,0,0,0,0,0,0,2197,2067,-0.33,0.05,0.0,-0.01,0.01,-0.01,-0.28,0.02,0.0,-0.01,0.01,-0.01,0.04,4.92,8.54,28.06,1.44,-30.56
15,9,2026-04-18T13:13:50.968,1776482031168.9673,652235,590,1776482031163.4167,638810,580,LeftGlove,-1,-1,0,0,0,0,0,0,0.46,0.1,-0.09,0.01,0.0,-0.01,2057,1818,0.29,-0.01,-0.11,0.0,0.0,-0.05,0.21,0.0,-0.02,0.0,0.0,0.16,1046,2083,0.36,0.43,0.44,0.01,0.01,-0.31,0.33,0.45,-0.02,0.02,0.0,-0.48,0,2044,0.54,0.13,0.1,0.01,0.0,-0.03,0.49,0.17,0.05,0.01,0.0,-0.09,2138,2287,0.62,0.08,0.13,0.01,-0.01,-0.01,0.46,-0.02,0.2,0.01,0.0,-0.12,2005,2021,0.56,0.1,0.1,0.01,0.0,-0.02,0.55,0.07,0.18,0.02,0.0,-0.08,-3.28,2.45,8.94,83.13,-18.75,-15.81,RightGlove,-1,-1,0,0,0,0,0,0,-0.33,-0.04,0.05,0.01,-0.02,-0.02,2083,2127,-0.36,0.01,0.03,0.02,-0.01,0.0,-0.35,0.06,0.02,-0.01,-0.01,0.07,1737,1671,-0.41,-0.05,0.03,0.02,0.0,-0.01,-0.44,-0.06,0.0,0.03,0.04,-0.01,1613,2054,-0.34,0.02,0.02,0.01,-0.01,0.02,-0.36,0.08,0.06,0.0,0.0,0.02,3346,3519,-0.34,-0.01,0.01,0.0,0.0,0.01,0,0,0,0,0,0,2199,2071,-0.33,0.05,0.0,0.0,0.0,0.0,-0.28,0.02,0.0,0.01,0.0,-0.02,0.05,5.09,8.54,28.0,1.5,-30.44
15,10,2026-04-18T13:13:50.997,1776482031210.0845,652276,629,1776482031204.3303,638852,620,LeftGlove,-1,-1,0,0,0,0,0,0,0.46,0.1,-0.09,0.01,0.0,-0.01,2057,1819,0.28,-0.01,-0.11,0.01,0.0,-0.07,0.21,0.0,-0.02,0.01,0.0,0.15,1048,2083,0.36,0.43,0.44,0.01,0.0,-0.32,0.33,0.45,-0.02,0.01,-0.02,-0.49,0,2047,0.54,0.13,0.1,0.01,-0.01,-0.03,0.49,0.17,0.05,0.01,-0.01,-0.08,2137,2291,0.62,0.08,0.13,0.01,-0.01,-0.02,0.46,-0.02,0.2,0.01,-0.01,-0.1,2004,2019,0.56,0.1,0.1,0.01,-0.01,-0.02,0.55,0.06,0.17,0.0,-0.01,-0.09,-3.0,2.49,8.9,83.06,-18.69,-15.81,RightGlove,-1,-1,0,0,0,0,0,0,-0.33,-0.04,0.05,0.02,0.0,-0.01,2085,2130,-0.36,0.01,0.03,0.01,-0.01,0.02,-3.12,-0.01,-0.01,0.2,-0.02,0.23,1741,1671,-0.41,-0.05,0.03,0.01,0.0,0.01,-0.44,-0.06,0.0,0.02,0.0,-0.01,1619,2046,-0.34,0.02,0.02,0.0,0.0,0.01,-0.36,0.08,0.06,0.03,0.0,0.04,3347,3518,-0.34,-0.01,0.01,0.0,0.01,-0.02,0,0,0,0,0,0,2199,2071,-0.33,0.05,0.0,0.03,0.0,0.02,-0.28,0.02,0.0,0.02,0.03,-0.01,0.24,5.16,8.31,27.94,1.56,-30.31
