run_index,hand,glove_time_ms,time,palm_mcp_flex,palm_pip_flex,palm_mid_yaw,palm_mid_pitch,palm_mid_roll,palm_mid_ax,palm_mid_ay,palm_mid_az,palm_prox_yaw,palm_prox_pitch,palm_prox_roll,palm_prox_ax,palm_prox_ay,palm_prox_az,thumb_mcp_flex,thumb_pip_flex,thumb_mid_yaw,thumb_mid_pitch,thumb_mid_roll,thumb_mid_ax,thumb_mid_ay,thumb_mid_az,thumb_prox_yaw,thumb_prox_pitch,thumb_prox_roll,thumb_prox_ax,thumb_prox_ay,thumb_prox_az,index_mcp_flex,index_pip_flex,index_mid_yaw,index_mid_pitch,index_mid_roll,index_mid_ax,index_mid_ay,index_mid_az,index_prox_yaw,index_prox_pitch,index_prox_roll,index_prox_ax,index_prox_ay,index_prox_az,middle_mcp_flex,middle_pip_flex,middle_mid_yaw,middle_mid_pitch,middle_mid_roll,middle_mid_ax,middle_mid_ay,middle_mid_az,middle_prox_yaw,middle_prox_pitch,middle_prox_roll,middle_prox_ax,middle_prox_ay,middle_prox_az,ring_mcp_flex,ring_pip_flex,ring_mid_yaw,ring_mid_pitch,ring_mid_roll,ring_mid_ax,ring_mid_ay,ring_mid_az,ring_prox_yaw,ring_prox_pitch,ring_prox_roll,ring_prox_ax,ring_prox_ay,ring_prox_az,pinky_mcp_flex,pinky_pip_flex,pinky_mid_yaw,pinky_mid_pitch,pinky_mid_roll,pinky_mid_ax,pinky_mid_ay,pinky_mid_az,pinky_prox_yaw,pinky_prox_pitch,pinky_prox_roll,pinky_prox_ax,pinky_prox_ay,pinky_prox_az,wrist_ax,wrist_ay,wrist_az,wrist_heading,wrist_pitch,wrist_roll
9,RightGlove,64548,0,-1,-1,-0.06,-0.11,0.11,0.0,0.0,-0.03,0,0,0,0,0,0,2084,2136,0.62,-0.02,-0.01,-0.02,0.0,0.0,0.07,0,-0.01,0.0,0.0,0.0,1727,1682,-0.01,-0.01,0,0.0,0.0,0.0,0.05,-0.02,-0.02,0.0,0.0,-0.01,1627,2058,0.14,-0.07,-0.07,0.0,0.0,0.02,-0.02,-0.06,-0.07,0.0,0.0,-0.03,2028,3765,0.01,-0.01,0.01,0.0,0.01,0.0,0.0,-0.01,0.0,-0.01,0.0,0.0,2205,2077,0.03,-0.02,0.01,-0.01,0.0,0.0,-0.03,-0.04,0.0,0.0,0.0,0.0,0.08,2.46,9.44,358.81,0.5,-14.69
9,RightGlove,64808,260,-1,-1,-0.06,-0.11,0.11,0.0,0.0,-0.04,0,0,0,0,0,0,2089,2131,0.62,-0.02,-0.01,-0.02,0.01,0.0,0.07,0,-0.01,0.0,0.0,0.0,1735,1682,-0.01,-0.01,0,0.0,-0.01,-0.01,0.05,-0.02,-0.02,0.0,0.0,0.0,1630,2056,0.14,-0.07,-0.07,0.0,0.0,0.01,-0.02,-0.06,-0.07,0.0,0.0,-0.03,2027,3756,0.01,-0.01,0.01,0.0,0.0,-0.01,0.0,-0.01,0.0,0.0,0.0,0.0,2204,2075,0.03,-0.02,0.01,-0.01,0.01,0.01,-0.03,-0.04,0.0,-0.01,0.0,0.0,0.07,2.48,9.47,358.81,0.5,-14.69
9,RightGlove,64850,302,-1,-1,-0.06,-0.11,0.11,0.0,0.0,-0.03,0,0,0,0,0,0,2085,2133,0.62,-0.02,-0.01,-0.01,0.0,0.0,0.07,0,-0.01,0.0,0.0,0.0,1727,1683,-0.01,-0.01,0,0.0,0.0,0.01,0.05,-0.02,-0.02,0.0,0.0,0.0,1627,2057,0.14,-0.07,-0.07,0.0,0.01,0.02,-0.02,-0.06,-0.07,0.0,0.0,-0.02,2028,3763,0.01,-0.01,0.01,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,2205,2079,0.03,-0.02,0.01,0.01,0.0,0.0,-0.03,-0.04,0.0,0.0,0.0,0.01,0.1,2.45,9.46,358.81,0.5,-14.69
9,RightGlove,64892,343,-1,-1,-0.06,-0.11,0.11,0.0,0.0,-0.03,0,0,0,0,0,0,2079,2131,0.62,-0.02,-0.01,-0.01,0.01,0.0,0.07,0,-0.01,0.0,0.0,0.0,1727,1684,-0.01,-0.01,0,-0.01,0.01,0.02,0.05,-0.02,-0.02,-0.01,0.0,0.0,1629,2056,0.14,-0.07,-0.07,0.0,0.01,0.01,-0.02,-0.06,-0.07,0.0,0.0,-0.01,2029,3770,0.01,-0.01,0.01,0.0,0.01,0.0,0.0,-0.02,0.0,0.0,0.0,0.0,2204,2076,0.03,-0.02,0.01,0.01,0.01,0.01,-0.03,-0.04,0.0,0.01,0.01,0.0,0.05,2.44,9.44,358.81,0.5,-14.69
9,RightGlove,64933,389,-1,-1,-0.06,-0.11,0.11,0.0,0.0,-0.03,0,0,0,0,0,0,2083,2137,0.62,-0.02,-0.01,0.0,0.0,-0.01,0.07,0,-0.01,0.01,0.0,0.0,1728,1683,-0.01,-0.01,0,0.0,0.0,0.0,0.05,-0.02,-0.02,0.0,0.0,0.0,1630,2057,0.14,-0.07,-0.07,0.0,0.0,0.01,-0.02,-0.06,-0.07,0.0,0.0,-0.03,2029,3769,0.01,-0.01,0.01,0.0,0.01,0.0,0.0,-0.01,0.0,0.0,0.0,0.01,2205,2075,0.03,-0.02,0.01,0.0,0.0,0.01,-0.03,-0.04,0.0,0.0,0.0,0.01,0.08,2.53,9.48,358.81,0.5,-14.69
9,RightGlove,64979,430,-1,-1,-0.06,-0.11,0.11,0.0,0.0,-0.03,0,0,0,0,0,0,2080,2135,0.62,-0.02,-0.01,0.01,-0.01,0.0,0.07,0,-0.01,0.0,0.0,0.0,1727,1679,-0.01,-0.01,0,0.0,0.0,0.0,0.05,-0.02,-0.02,0.0,0.0,-0.01,1629,2056,0.14,-0.06,-0.07,0.0,0.0,0.01,-0.02,-0.06,-0.07,-0.01,0.0,-0.02,2027,3763,0.01,-0.01,0.01,0.0,-0.01,-0.01,0.0,-0.01,0.0,0.0,-0.01,0.0,2203,2078,0.03,-0.02,0.01,-0.01,0.0,0.01,-0.03,-0.04,0.0,0.0,0.0,-0.01,0.07,2.48,9.45,358.81,0.5,-14.69
9,RightGlove,65020,473,-1,-1,-0.06,-0.11,0.11,0.0,0.0,-0.03,0,0,0,0,0,0,2085,2135,0.62,-0.02,-0.01,-0.02,0.0,0.0,0.07,0,-0.01,0.0,0.0,0.0,1725,1677,-0.01,-0.01,0,0.0,0.0,0.01,0.05,-0.02,-0.02,0.0,0.0,0.0,1627,2055,0.14,-0.06,-0.07,0.0,0.0,0.01,-0.02,-0.06,-0.07,0.0,0.0,-0.03,2029,3768,0.01,-0.01,0.01,0.0,0.0,-0.01,0.0,-0.01,0.0,0.0,0.0,0.0,2204,2077,0.03,-0.02,0.01,-0.01,0.0,0.0,-0.03,-0.04,0.0,0.0,0.0,0.0,0.05,2.46,9.46,358.81,0.5,-14.69
9,RightGlove,65063,514,-1,-1,-0.06,-0.11,0.11,0.0,0.0,-0.03,0,0,0,0,0,0,2087,2135,0.62,-0.02,-0.01,-0.01,0.01,0.0,0.07,0,-0.01,0.0,0.0,0.0,1725,1683,-0.01,-0.01,0,0.0,0.0,0.0,0.05,-0.02,-0.02,0.0,0.0,0.0,1629,2056,0.14,-0.06,-0.07,0.0,0.0,0.01,-0.02,-0.06,-0.07,0.0,0.0,-0.03,2027,3765,0.01,-0.01,0.01,0.0,0.0,-0.01,0.0,-0.01,0.0,0.0,0.0,0.0,2205,2075,0.03,-0.02,0.01,-0.01,0.0,0.0,-0.03,-0.04,0.0,0.0,0.0,-0.01,0.08,2.48,9.52,358.81,0.5,-14.69
9,RightGlove,65104,558,-1,-1,-0.06,-0.11,0.11,0.0,0.0,-0.02,0,0,0,0,0,0,2085,2137,0.62,-0.02,-0.01,0.01,0.0,0.0,0.07,0,-0.01,0.0,0.0,0.0,1727,1675,-0.01,-0.01,0,0.0,0.0,0.0,0.05,-0.02,-0.02,-0.01,0.0,0.0,1635,2057,0.14,-0.06,-0.07,0.0,0.0,0.02,-0.02,-0.06,-0.07,0.0,0.0,-0.02,2030,3769,0.01,-0.01,0.01,0.0,0.0,-0.01,0.0,-0.01,0.0,0.0,0.0,0.0,2203,2077,0.03,-0.02,0.01,-0.01,0.0,0.01,-0.03,-0.04,0.0,-0.01,0.0,-0.01,0.08,2.49,9.42,358.81,0.5,-14.69
9,RightGlove,65148,600,-1,-1,-0.06,-0.11,0.11,0.0,0.0,-0.02,0,0,0,0,0,0,2080,2135,0.62,-0.02,-0.01,0.02,-0.01,0.0,0.07,0,-0.01,0.01,0.0,0.0,1727,1678,-0.01,-0.01,0,0.0,0.01,0.01,0.05,-0.02,-0.02,0.0,0.0,-0.01,1629,2057,0.14,-0.07,-0.07,0.0,0.0,0.01,-0.02,-0.06,-0.07,0.0,0.0,-0.02,2028,3766,0.01,-0.01,0.01,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.01,0.0,2205,2077,0.03,-0.02,0.01,0.01,0.01,0.01,-0.03,-0.04,0.0,0.0,0.0,0.0,0.09,2.45,9.46,358.81,0.5,-14.69
