hand,glove_time_ms,time,palm_mcp_flex,palm_pip_flex,palm_mid_yaw,palm_mid_pitch,palm_mid_roll,palm_mid_ax,palm_mid_ay,palm_mid_az,palm_prox_yaw,palm_prox_pitch,palm_prox_roll,palm_prox_ax,palm_prox_ay,palm_prox_az,thumb_mcp_flex,thumb_pip_flex,thumb_mid_yaw,thumb_mid_pitch,thumb_mid_roll,thumb_mid_ax,thumb_mid_ay,thumb_mid_az,thumb_prox_yaw,thumb_prox_pitch,thumb_prox_roll,thumb_prox_ax,thumb_prox_ay,thumb_prox_az,index_mcp_flex,index_pip_flex,index_mid_yaw,index_mid_pitch,index_mid_roll,index_mid_ax,index_mid_ay,index_mid_az,index_prox_yaw,index_prox_pitch,index_prox_roll,index_prox_ax,index_prox_ay,index_prox_az,middle_mcp_flex,middle_pip_flex,middle_mid_yaw,middle_mid_pitch,middle_mid_roll,middle_mid_ax,middle_mid_ay,middle_mid_az,middle_prox_yaw,middle_prox_pitch,middle_prox_roll,middle_prox_ax,middle_prox_ay,middle_prox_az,ring_mcp_flex,ring_pip_flex,ring_mid_yaw,ring_mid_pitch,ring_mid_roll,ring_mid_ax,ring_mid_ay,ring_mid_az,ring_prox_yaw,ring_prox_pitch,ring_prox_roll,ring_prox_ax,ring_prox_ay,ring_prox_az,pinky_mcp_flex,pinky_pip_flex,pinky_mid_yaw,pinky_mid_pitch,pinky_mid_roll,pinky_mid_ax,pinky_mid_ay,pinky_mid_az,pinky_prox_yaw,pinky_prox_pitch,pinky_prox_roll,pinky_prox_ax,pinky_prox_ay,pinky_prox_az
LeftGlove,77165,77465,-1,-1,0,0,0,0,0,0,0.67,0.26,0.2,0.0,-0.13,-0.12,2043,2109,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,0.07,0.15,-0.01,-0.12,-0.04,1913,1853,0.87,0.06,0.21,-0.11,-0.17,0.45,0.65,0.03,-0.05,0.05,0.01,0.33,1805,2030,1.05,0.08,0.24,0.11,-0.04,-0.27,0.75,-0.02,-0.09,-0.23,0.0,-0.28,2925,3229,0.84,0.13,0.29,0.03,0.07,0.5,0.75,0.03,-0.05,0.19,0.01,0.0,3134,2943,1.06,0.48,0.33,0.02,-0.05,-0.15,0.71,0.28,-0.07,-0.02,0.14,-0.03
LeftGlove,77541,77818,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2040,2095,0.02,0.19,0.28,-0.1,-0.09,0.19,0.0,0.0,0.0,0.0,0.0,0.0,1907,1861,1.01,0.14,0.22,0.01,-0.08,-0.02,0.75,0.12,-0.16,-0.11,0.2,0.11,1785,2030,1.06,0.09,0.32,-0.01,0.06,0.08,0.8,-0.02,-0.01,-0.04,0.16,0.15,2925,3231,0.89,0.11,0.32,0.11,-0.03,0.12,0.83,0.03,-0.03,-0.02,-0.05,-0.13,3125,2939,1.13,0.47,0.34,0.03,-0.05,0.0,0.79,0.3,-0.08,0.1,-0.1,-0.12
LeftGlove,77854,78153,-1,-1,0,0,0,0,0,0,0.82,0.31,0.28,-0.19,0.27,0.4,2030,2117,0.06,0.16,0.33,-0.27,0.05,-0.01,-0.06,0.08,0.27,-0.45,0.02,-0.07,1896,1848,0.0,0.0,0.0,0.0,0.0,0.0,0.87,-0.08,0.15,0.19,0.57,1.11,1784,2029,1.16,0.01,0.28,0.17,-0.11,0.24,0.89,-0.06,-0.08,0.3,0.1,0.06,2925,3229,1.0,0.18,0.08,0.15,-0.08,-0.15,0.82,0.12,-0.27,-0.1,-0.25,-0.42,3129,2941,1.12,0.7,-0.05,0.17,-0.01,-0.46,0.63,0.39,-0.44,-0.24,-0.22,-0.63
LeftGlove,78189,78481,-1,-1,0,0,0,0,0,0,0.89,0.34,-0.27,-0.06,0.03,-0.05,2027,2107,0.38,-0.28,0.13,-0.06,-0.14,-0.14,0.34,-0.23,0.04,-0.4,-0.13,0.15,1906,1850,1.06,-0.01,-0.13,0.09,0.01,0.68,0.0,0.0,0.0,0.0,0.0,0.0,1773,2028,1.15,0.13,-0.08,0.15,-0.02,0.94,0.73,0.04,-0.16,0.14,-0.31,-0.14,2893,3215,0.81,0.45,-0.03,0.02,0.0,-0.22,0.52,0.17,0.29,0.22,0.57,0.38,3091,2915,0.81,0.99,-0.25,0.15,0.19,-0.08,0.13,0.46,0.31,-0.13,-0.02,-0.48
LeftGlove,78517,78817,-1,-1,0,0,0,0,0,0,0.51,0.41,-1.08,0.15,-0.02,-0.04,1955,2019,0.68,-0.46,-0.64,-0.06,-0.31,-0.59,0.86,-0.31,-0.57,-0.41,-0.44,-0.32,1831,1780,0.72,-0.12,-0.23,0.2,0.34,-0.22,0.65,-0.43,1.08,0.08,0.48,0.15,1721,2006,0.64,-0.09,0.17,-0.87,-0.12,0.09,0.43,-0.39,1.45,-0.01,0.45,-0.25,2907,3211,0.21,0.18,-0.06,-0.51,0.03,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,3128,2921,0.0,0.57,-0.29,-0.29,0.0,-0.29,0.31,-0.22,1.06,-0.14,0.16,0.07
LeftGlove,78853,79181,-1,-1,0,0,0,0,0,0,-0.02,-0.03,-1.51,-0.14,-0.01,-0.15,1947,2029,0.07,-0.35,-1.48,-0.27,-0.63,-0.93,1.07,0.08,-1.18,-0.41,-0.47,-0.11,1836,1783,0.65,-0.27,-0.18,0.05,0.05,0.05,0.66,-0.55,1.24,0.04,0.1,-0.15,1733,1998,0.59,-0.19,0.17,0.0,-0.07,0.07,0.54,-0.51,1.46,0.06,-0.09,-0.19,2908,3212,0.18,0.05,0.0,0.02,-0.05,-0.06,0.59,-0.47,1.26,0.09,0.11,-0.13,3117,2924,-0.05,0.44,-0.15,-0.14,0.05,-0.04,0.46,-0.35,1.1,0.09,-0.01,-0.09
LeftGlove,79217,79519,-1,-1,0,0,0,0,0,0,-0.05,-0.06,-1.47,-0.38,0.07,-0.27,1951,2037,0.0,0.0,0.0,0.0,0.0,0.0,1.03,0.12,-1.26,-0.28,-0.46,-0.07,1837,1791,0.69,-0.27,-0.12,0.0,0.04,-0.03,0.62,-0.53,1.32,0.11,0.14,-0.27,1751,2007,0.6,-0.19,0.22,-0.08,0.04,0.08,0.51,-0.49,1.5,0.01,0.01,-0.12,2914,3227,0.19,0.05,0.09,-0.07,0.0,-0.02,0.53,-0.45,1.35,-0.05,0.02,-0.13,3109,2917,-0.05,0.45,-0.03,-0.13,0.05,-0.03,0.42,-0.33,1.21,0.01,0.02,-0.09
LeftGlove,79554,79859,-1,-1,0,0,0,0,0,0,-0.04,-0.06,-1.44,0.03,0.05,-0.1,1950,2037,-0.68,-2.95,-1.65,-0.19,-0.44,-0.75,0.9,0.18,-1.32,-0.18,-0.29,-0.05,1821,1785,0.7,-0.26,-0.09,-0.08,0.02,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,1709,2003,0.61,-0.18,0.26,-0.18,0.06,0.03,0.48,-0.47,1.53,-0.15,0.02,-0.1,2913,3213,0.23,0.04,0.12,-0.17,0.02,-0.01,0.5,-0.42,1.38,0.05,0.01,-0.24,3123,2925,0.01,0.47,-0.03,0.11,0.02,-0.02,0.39,-0.28,1.21,0.23,0.04,-0.22
LeftGlove,79895,80195,-1,-1,0,0,0,0,0,0,0.07,0.03,-1.39,0.17,0.02,0.0,1949,2039,-0.34,-3.05,-1.62,-0.11,-0.34,-0.61,0.9,0.21,-1.28,-0.08,-0.13,-0.06,1847,1791,0.72,-0.2,-0.01,0.0,0.05,0.01,0.49,-0.45,1.48,0.05,0.15,-0.16,1740,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.42,-2.72,1.59,-0.02,0.05,-0.11,2918,3210,0.25,0.07,0.15,-0.1,0.03,0.04,0.46,-0.4,1.42,0.01,0.06,-0.21,3133,2941,-0.01,0.48,-0.02,-0.1,0.01,-0.04,0.38,-0.28,1.23,0.0,-0.02,-0.18
LeftGlove,80231,80534,-1,-1,0,0,0,0,0,0,0.08,0.06,-1.41,0.01,0.03,-0.03,1964,2043,-0.34,3.08,-1.66,-0.09,-0.39,-0.55,0.8,0.31,-1.32,-0.05,-0.11,0.02,1844,1803,0.69,-0.16,-0.01,0.0,-0.02,-0.03,0.44,-0.42,1.5,0.04,0.06,-0.3,1749,2004,0.57,-0.09,0.3,-0.01,0.02,0.08,0.38,-2.75,1.6,-0.03,0.01,-0.12,2915,3215,0.22,0.11,0.14,-0.05,0.02,0.03,0.41,-0.36,1.45,0.02,0.02,-0.24,3091,2926,0.0,0.0,0.0,0.0,0.0,0.0,0.34,-0.25,1.24,0.05,0.02,-0.15
