run_index,hand,glove_time_ms,time,palm_mcp_flex,palm_pip_flex,palm_mid_yaw,palm_mid_pitch,palm_mid_roll,palm_mid_ax,palm_mid_ay,palm_mid_az,palm_prox_yaw,palm_prox_pitch,palm_prox_roll,palm_prox_ax,palm_prox_ay,palm_prox_az,thumb_mcp_flex,thumb_pip_flex,thumb_mid_yaw,thumb_mid_pitch,thumb_mid_roll,thumb_mid_ax,thumb_mid_ay,thumb_mid_az,thumb_prox_yaw,thumb_prox_pitch,thumb_prox_roll,thumb_prox_ax,thumb_prox_ay,thumb_prox_az,index_mcp_flex,index_pip_flex,index_mid_yaw,index_mid_pitch,index_mid_roll,index_mid_ax,index_mid_ay,index_mid_az,index_prox_yaw,index_prox_pitch,index_prox_roll,index_prox_ax,index_prox_ay,index_prox_az,middle_mcp_flex,middle_pip_flex,middle_mid_yaw,middle_mid_pitch,middle_mid_roll,middle_mid_ax,middle_mid_ay,middle_mid_az,middle_prox_yaw,middle_prox_pitch,middle_prox_roll,middle_prox_ax,middle_prox_ay,middle_prox_az,ring_mcp_flex,ring_pip_flex,ring_mid_yaw,ring_mid_pitch,ring_mid_roll,ring_mid_ax,ring_mid_ay,ring_mid_az,ring_prox_yaw,ring_prox_pitch,ring_prox_roll,ring_prox_ax,ring_prox_ay,ring_prox_az,pinky_mcp_flex,pinky_pip_flex,pinky_mid_yaw,pinky_mid_pitch,pinky_mid_roll,pinky_mid_ax,pinky_mid_ay,pinky_mid_az,pinky_prox_yaw,pinky_prox_pitch,pinky_prox_roll,pinky_prox_ax,pinky_prox_ay,pinky_prox_az,wrist_ax,wrist_ay,wrist_az,wrist_heading,wrist_pitch,wrist_roll
13,LeftGlove,70894,0,-1,-1,0,0,0,0,0,0,0.27,0.07,-0.1,0.0,0.0,0.0,2091,1821,-0.31,0.02,-0.12,-0.01,0.01,-0.05,-0.02,0.08,-0.1,-0.03,0.03,-0.16,1023,2106,0.33,0.1,-0.03,0.0,0.01,-0.04,0.41,0.09,-0.02,0.0,0.01,-0.06,39,2067,0.24,0.0,-0.09,0.0,0.0,0.02,0.25,0.0,-0.09,0.0,0.0,-0.02,2149,2283,0.28,0.1,-0.04,0.0,-0.01,0.03,0.36,0.09,-0.01,0.0,0.01,-0.02,2019,2020,0.3,0.14,-0.02,0.01,0.01,0.01,0.38,0.14,-0.06,-0.01,0.0,0.01,-0.68,4.3,8.73,330.06,-3.88,-25.19
13,LeftGlove,71438,344,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2092,1827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1019,2106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,2067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2148,2282,0.28,0.09,-0.04,0.01,0.0,0.03,0.36,0.09,-0.01,0.0,0.0,-0.03,2019,2021,0.3,0.14,-0.02,-0.01,0.0,0.01,0.38,0.14,-0.06,0.0,0.0,0.01,-0.71,4.23,8.8,330.06,-3.81,-25.19
13,LeftGlove,71603,613,-1,-1,0,0,0,0,0,0,0.27,0.07,-0.1,0.0,0.0,0.0,2089,1821,-0.31,0.02,-0.11,-0.01,0.01,-0.04,-0.02,0.07,-0.09,-0.01,0.02,-0.15,1033,2110,0.33,0.09,-0.03,0.0,0.0,-0.04,0.41,0.09,-0.02,0.0,0.0,-0.05,37,2068,0.24,0.0,-0.09,0.01,0.0,0.02,0.25,0.0,-0.09,-0.01,0.01,-0.03,2149,2282,0.28,0.09,-0.04,0.0,-0.01,0.03,0.36,0.09,-0.01,0.02,0.0,-0.02,2019,2021,0.3,0.14,-0.02,0.01,0.0,0.02,0.38,0.14,-0.06,-0.01,0.01,0.02,-0.71,4.27,8.78,330.06,-3.81,-25.19
13,LeftGlove,71874,949,-1,-1,0,0,0,0,0,0,0.27,0.07,-0.1,0.0,0.0,0.0,2093,1823,-0.31,0.02,-0.11,-0.01,0.01,-0.04,-0.02,0.07,-0.08,-0.01,0.02,-0.16,1033,2109,0.33,0.09,-0.03,0.01,0.0,-0.04,0.41,0.09,-0.01,0.0,0.01,-0.06,39,2067,0.24,0.0,-0.09,0.0,0.0,0.02,0.25,0.0,-0.09,0.0,0.0,-0.01,2149,2281,0.28,0.1,-0.04,-0.01,0.0,0.02,0.36,0.09,-0.01,0.0,0.0,-0.02,2019,2023,0.3,0.14,-0.02,0.0,0.0,0.01,0.38,0.14,-0.06,0.01,-0.01,0.02,-0.71,4.17,8.78,330.06,-3.81,-25.19
13,LeftGlove,72210,1295,-1,-1,0,0,0,0,0,0,0.26,0.07,-0.1,0.0,0.0,-0.01,2091,1823,-0.31,0.02,-0.11,-0.01,0.01,-0.04,-0.02,0.06,-0.08,-0.01,0.01,-0.15,1033,2109,0.33,0.09,-0.03,0.0,0.0,-0.05,0.41,0.09,-0.01,0.0,0.0,-0.05,39,2069,0.24,0.0,-0.09,0.0,0.0,0.02,0.25,0.0,-0.09,0.01,0.0,-0.01,2149,2279,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.09,-0.01,0.0,0.0,-0.02,2019,2021,0.3,0.14,-0.02,0.0,0.0,0.02,0.38,0.14,-0.06,0.0,0.0,0.02,-0.72,4.23,8.85,330.06,-3.81,-25.19
13,LeftGlove,72555,1632,-1,-1,0,0,0,0,0,0,0.26,0.07,-0.1,0.0,-0.01,-0.01,2091,1827,-0.31,0.02,-0.1,0.0,0.0,-0.05,-0.02,0.06,-0.08,-0.01,0.01,-0.15,1032,2108,0.33,0.09,-0.03,0.0,0.01,-0.05,0.41,0.09,-0.01,0.0,0.0,-0.04,37,2067,0.24,0.0,-0.09,0.0,0.0,0.02,0.25,0.0,-0.09,0.0,0.0,-0.02,2148,2281,0.28,0.1,-0.05,0.0,0.0,0.03,-1.15,0.93,-1.21,1.39,1.3,1.23,2021,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.14,-0.06,0.0,0.01,0.02,-0.72,4.27,8.84,330.06,-3.81,-25.19
13,LeftGlove,72892,1964,-1,-1,0,0,0,0,0,0,0.26,0.07,-0.1,0.0,0.0,0.0,2094,1823,-0.31,0.02,-0.1,0.0,0.01,-0.05,-0.02,0.06,-0.07,0.0,0.01,-0.15,1032,2109,0.33,0.09,-0.03,0.0,0.0,-0.04,0.41,0.09,-0.01,0.0,0.0,-0.05,37,2066,0.24,0.0,-0.09,0.0,0.0,0.02,0.25,0.0,-0.09,0.0,0.0,-0.01,2149,2282,0.28,0.09,-0.05,0.0,0.0,0.03,0.9,0.25,1.26,-0.34,0.26,-0.86,2018,2023,0.3,0.14,-0.02,0.0,-0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,-0.72,4.26,8.77,330.06,-3.81,-25.19
13,LeftGlove,73225,2321,-1,-1,0,0,0,0,0,0,0.26,0.07,-0.1,0.0,0.0,0.0,2092,1823,-0.31,0.01,-0.1,0.0,0.0,-0.05,-0.02,0.06,-0.07,0.0,0.01,-0.15,1034,2109,0.33,0.09,-0.03,0.0,0.0,-0.04,0.41,0.09,-0.01,0.0,0.0,-0.05,39,2067,0.24,0.0,-0.09,0.0,0.0,0.02,0.25,0.0,-0.09,0.0,0.0,-0.02,2148,2280,0.28,0.09,-0.05,0.0,0.0,0.03,0.31,2.56,1.69,1.27,0.93,1.35,2019,2023,0.3,0.14,-0.02,0.0,0.0,0.01,0.38,0.15,-0.06,0.0,0.0,0.02,-0.71,4.24,8.83,330.06,-3.81,-25.19
13,LeftGlove,73581,2660,-1,-1,0,0,0,0,0,0,0.26,0.07,-0.1,0.0,0.0,0.0,2095,1822,-0.31,0.01,-0.1,0.0,0.0,-0.05,3.07,-3.12,3.14,-0.83,-1.05,-0.51,1033,2109,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.09,-0.01,0.0,0.0,-0.06,37,2068,0.24,0.0,-0.09,0.0,0.0,0.03,0.25,0.0,-0.09,0.01,0.0,-0.02,2149,2282,0.27,0.09,-0.05,0.0,0.0,0.02,0.27,2.51,1.77,-0.12,-1.7,-0.69,2018,2022,0.3,0.14,-0.02,0.0,0.0,0.02,0.38,0.15,-0.06,0.0,0.0,0.02,-0.69,4.23,8.82,330.06,-3.81,-25.19
13,LeftGlove,73920,2995,-1,-1,0,0,0,0,0,0,0.26,0.07,-0.1,0.0,0.0,0.0,2095,1822,-0.31,0.01,-0.1,0.0,0.0,-0.04,3.08,-3.12,3.14,-0.7,0.36,-0.52,1032,2106,0.33,0.09,-0.03,0.07,0.02,-0.1,0.4,0.09,-0.01,-0.09,0.0,0.04,36,2067,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.05,-0.08,-0.07,0.03,0.01,2149,2281,0.33,0.04,-0.02,-0.08,0.13,0.02,-0.35,-2.64,-1.95,-1.03,0.89,1.28,2019,2021,0.3,0.15,-0.02,0.05,-0.04,0.02,0.38,0.15,-0.06,-0.01,-0.02,0.09,-0.73,4.23,8.82,330.06,-3.81,-25.13
