run_index,hand,glove_time_ms,time,palm_mcp_flex,palm_pip_flex,palm_mid_yaw,palm_mid_pitch,palm_mid_roll,palm_mid_ax,palm_mid_ay,palm_mid_az,palm_prox_yaw,palm_prox_pitch,palm_prox_roll,palm_prox_ax,palm_prox_ay,palm_prox_az,thumb_mcp_flex,thumb_pip_flex,thumb_mid_yaw,thumb_mid_pitch,thumb_mid_roll,thumb_mid_ax,thumb_mid_ay,thumb_mid_az,thumb_prox_yaw,thumb_prox_pitch,thumb_prox_roll,thumb_prox_ax,thumb_prox_ay,thumb_prox_az,index_mcp_flex,index_pip_flex,index_mid_yaw,index_mid_pitch,index_mid_roll,index_mid_ax,index_mid_ay,index_mid_az,index_prox_yaw,index_prox_pitch,index_prox_roll,index_prox_ax,index_prox_ay,index_prox_az,middle_mcp_flex,middle_pip_flex,middle_mid_yaw,middle_mid_pitch,middle_mid_roll,middle_mid_ax,middle_mid_ay,middle_mid_az,middle_prox_yaw,middle_prox_pitch,middle_prox_roll,middle_prox_ax,middle_prox_ay,middle_prox_az,ring_mcp_flex,ring_pip_flex,ring_mid_yaw,ring_mid_pitch,ring_mid_roll,ring_mid_ax,ring_mid_ay,ring_mid_az,ring_prox_yaw,ring_prox_pitch,ring_prox_roll,ring_prox_ax,ring_prox_ay,ring_prox_az,pinky_mcp_flex,pinky_pip_flex,pinky_mid_yaw,pinky_mid_pitch,pinky_mid_roll,pinky_mid_ax,pinky_mid_ay,pinky_mid_az,pinky_prox_yaw,pinky_prox_pitch,pinky_prox_roll,pinky_prox_ax,pinky_prox_ay,pinky_prox_az
1,LeftGlove,666668,0,-1,-1,0,0,0,0,0,0,0.1,-0.31,0.21,0.01,0.0,0.89,2023,2077,1.58,-0.24,0.62,0.01,0.0,0.3,-0.52,-0.31,0.73,-0.02,-0.01,0.25,2058,2057,0.0,0.0,0.0,0.0,0.0,0.0,-2.61,-0.13,0.3,0.0,0.01,-0.04,2063,2029,-1.75,-0.37,0.06,-0.01,0.0,0.37,1.12,-0.33,0.12,0.01,0.01,0.37,3305,3480,-0.53,-0.3,-0.08,-0.01,-0.01,0.49,-0.23,-0.3,0.06,-0.01,0.01,0.45,3340,3064,-1.31,-0.19,0.02,0.0,0.02,0.43,-2.86,-0.15,0.06,0.01,0.0,0.28
1,LeftGlove,667464,502,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2036,2079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2053,2059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2036,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3304,3471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3326,3082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,LeftGlove,667508,608,-1,-1,0,0,0,0,0,0,0.1,-0.32,0.21,-0.01,0.02,0.85,2039,2066,1.57,-0.24,0.62,0.17,-0.08,0.28,-0.53,-0.32,0.74,0.09,0.03,0.2,2058,2057,-2.59,0.01,0.38,-0.06,0.15,0.17,-2.61,-0.13,0.32,-0.09,0.0,-0.02,2057,2029,-1.74,-0.36,0.06,0.04,0.06,0.35,1.12,-0.33,0.13,-0.04,0.01,0.35,3303,3464,-0.53,-0.3,-0.08,-0.01,-0.03,0.46,-0.22,-0.3,0.07,-0.05,0.0,0.47,3337,3063,-1.32,-0.19,0.02,0.0,0.01,0.44,-2.86,-0.16,0.07,0.04,-0.01,0.3
1,LeftGlove,667615,776,-1,-1,0,0,0,0,0,0,0.1,-0.32,0.21,0.04,0.07,0.87,2030,2087,1.57,-0.24,0.62,-0.06,0.08,0.29,-0.53,-0.32,0.74,0.05,0.05,0.18,2036,2045,-2.58,0.01,0.38,0.02,-0.04,0.09,-2.61,-0.13,0.32,-0.03,0.01,-0.05,2037,2031,-1.74,-0.36,0.06,-0.05,-0.02,0.4,1.12,-0.33,0.13,-0.04,0.05,0.4,3293,3462,-0.53,-0.3,-0.08,-0.04,-0.03,0.5,-0.22,-0.29,0.07,-0.01,0.01,0.44,3340,3061,-1.32,-0.19,0.02,0.0,0.04,0.42,-2.87,-0.15,0.07,0.01,0.01,0.28
1,LeftGlove,667783,1005,-1,-1,0,0,0,0,0,0,0.1,-0.32,0.21,0.0,0.0,0.91,2039,2075,1.56,-0.25,0.62,0.02,0.03,0.33,-0.53,-0.33,0.74,-0.02,-0.03,0.23,2055,2055,-2.58,0.0,0.38,-0.01,0.0,0.09,-2.61,-0.14,0.32,0.01,0.0,-0.06,2057,2028,-1.74,-0.37,0.06,-0.01,0.0,0.39,1.13,-0.34,0.13,0.01,0.0,0.39,3303,3473,-0.53,-0.3,-0.08,0.08,0.06,0.58,-0.21,-0.3,0.07,0.12,0.11,0.46,3347,3060,-1.31,-0.19,0.03,-0.15,0.36,0.74,-2.85,-0.15,0.07,-0.67,-0.17,0.65
1,LeftGlove,668011,1287,-1,-1,0,0,0,0,0,0,0.0,-0.37,0.06,0.18,0.23,1.09,1990,2056,1.53,-0.43,0.57,-0.09,-0.03,0.22,-0.53,-0.6,0.62,0.01,0.17,-0.01,1651,1608,-2.49,-0.06,0.1,0.05,-0.09,-0.23,-2.54,-0.19,-0.07,0.31,-0.06,-0.2,1575,2027,-1.76,-0.4,0.41,0.17,-0.24,0.36,0.99,-0.48,1.22,-0.16,0.19,0.27,3301,3464,-0.52,-0.5,0.33,0.01,-0.24,0.4,0.46,-0.46,1.49,-0.24,-0.01,-0.23,3347,3047,-1.67,-0.26,-0.23,0.13,0.12,0.55,2.99,-0.32,-0.32,-0.31,0.12,0.51
1,LeftGlove,668294,1618,-1,-1,0,0,0,0,0,0,-0.32,-0.48,-0.25,0.11,0.32,0.87,1957,2015,1.59,-0.76,0.34,0.16,-0.22,-0.11,-0.64,-0.86,0.22,-0.02,0.28,-0.18,1641,1609,-2.51,0.05,-0.18,-0.16,-0.09,-0.07,-2.76,-0.11,-0.48,-0.14,-0.03,0.02,1575,2034,-1.92,-0.4,0.37,0.12,-0.03,0.3,0.43,-2.55,1.69,-0.18,0.16,-0.26,3307,3464,-0.84,-0.49,0.16,0.3,-0.16,0.48,0.62,-2.53,1.59,-0.26,-0.25,-0.15,3321,3037,-2.14,-0.22,-0.44,0.31,-0.17,0.4,2.58,-0.32,-0.54,0.12,0.34,0.41
1,LeftGlove,668625,1960,-1,-1,0,0,0,0,0,0,-0.69,-0.52,-0.49,-0.28,-0.07,0.58,1979,2024,1.74,-1.05,-0.24,0.14,-0.03,-0.83,-0.75,-0.97,-0.55,-0.26,-0.09,-0.51,2037,2030,-2.81,-0.01,-0.58,0.18,0.15,-0.22,3.11,-0.3,-0.8,0.08,0.17,0.27,2037,2035,-2.06,-0.54,0.08,0.23,0.13,0.48,0.87,-0.76,1.41,-0.33,-0.19,0.02,3304,3469,-1.05,-0.59,-0.09,0.3,0.05,0.67,0.69,-0.78,1.31,0.06,-0.29,-0.03,3349,3035,0.0,0.0,0.0,0.0,0.0,0.0,2.44,-0.4,-0.63,-0.1,0.2,0.56
1,LeftGlove,668967,2300,-1,-1,0,0,0,0,0,0,-0.78,-0.58,-0.5,-0.13,0.07,0.67,1982,2037,1.71,-1.12,-0.25,0.2,0.02,-0.65,-0.77,-1.0,-0.61,-0.07,0.06,-0.47,2035,2013,-2.83,-0.02,-0.58,0.03,-0.04,-0.11,-3.14,-0.26,-0.76,-0.1,0.0,0.29,2041,2023,-2.06,-0.51,0.06,0.06,0.15,0.48,0.91,-0.74,1.34,-0.15,-0.13,0.05,3316,3463,-1.02,-0.53,-0.1,0.19,0.03,0.69,0.67,-0.76,1.28,0.04,-0.19,-0.01,3346,3091,-2.37,-0.32,-0.59,0.2,0.05,0.51,0.0,0.0,0.0,0.0,0.0,0.0
1,LeftGlove,669307,2660,-1,-1,0,0,0,0,0,0,-0.78,-0.57,-0.46,-0.09,0.02,0.66,1991,2020,1.68,-1.15,-0.19,0.23,0.1,-0.62,-0.76,-1.0,-0.6,-0.06,0.01,-0.48,2040,2031,-2.81,0.0,-0.56,0.01,0.0,-0.13,-3.09,-0.22,-0.72,-0.05,0.01,0.26,2032,2034,-2.06,-0.48,0.04,0.06,0.07,0.46,0.94,-0.73,1.3,-0.1,-0.11,0.04,3303,3466,-1.0,-0.49,-0.11,0.12,0.0,0.7,0.66,-0.76,1.24,0.06,-0.13,-0.04,3387,3119,-2.36,-0.31,-0.6,0.12,0.07,0.53,2.49,-0.33,-0.62,-0.06,0.09,0.54
