run_index,hand,request_id,request_ts,glove_time_ms,time,palm_mcp_flex,palm_pip_flex,palm_mid_yaw,palm_mid_pitch,palm_mid_roll,palm_mid_ax,palm_mid_ay,palm_mid_az,palm_prox_yaw,palm_prox_pitch,palm_prox_roll,palm_prox_ax,palm_prox_ay,palm_prox_az,thumb_mcp_flex,thumb_pip_flex,thumb_mid_yaw,thumb_mid_pitch,thumb_mid_roll,thumb_mid_ax,thumb_mid_ay,thumb_mid_az,thumb_prox_yaw,thumb_prox_pitch,thumb_prox_roll,thumb_prox_ax,thumb_prox_ay,thumb_prox_az,index_mcp_flex,index_pip_flex,index_mid_yaw,index_mid_pitch,index_mid_roll,index_mid_ax,index_mid_ay,index_mid_az,index_prox_yaw,index_prox_pitch,index_prox_roll,index_prox_ax,index_prox_ay,index_prox_az,middle_mcp_flex,middle_pip_flex,middle_mid_yaw,middle_mid_pitch,middle_mid_roll,middle_mid_ax,middle_mid_ay,middle_mid_az,middle_prox_yaw,middle_prox_pitch,middle_prox_roll,middle_prox_ax,middle_prox_ay,middle_prox_az,ring_mcp_flex,ring_pip_flex,ring_mid_yaw,ring_mid_pitch,ring_mid_roll,ring_mid_ax,ring_mid_ay,ring_mid_az,ring_prox_yaw,ring_prox_pitch,ring_prox_roll,ring_prox_ax,ring_prox_ay,ring_prox_az,pinky_mcp_flex,pinky_pip_flex,pinky_mid_yaw,pinky_mid_pitch,pinky_mid_roll,pinky_mid_ax,pinky_mid_ay,pinky_mid_az,pinky_prox_yaw,pinky_prox_pitch,pinky_prox_roll,pinky_prox_ax,pinky_prox_ay,pinky_prox_az,wrist_ax,wrist_ay,wrist_az,wrist_heading,wrist_pitch,wrist_roll
1,LeftGlove,1,2026-04-17T09:43:04.398,188709,0,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2093,1850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1031,2117,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,30,2067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2146,2281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981,2023,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.38,2.77,8.97,356.25,-2.38,-17.88
1,LeftGlove,2,2026-04-17T09:43:04.913,189321,611,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2095,1850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1031,2117,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,28,2067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2147,2280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981,2023,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.43,2.94,9.29,356.25,-2.38,-17.88
1,LeftGlove,3,2026-04-17T09:43:05.058,189361,701,-1,-1,0,0,0,0,0,0,0.02,0.0,0.0,0.0,0.0,0.0,2094,1851,-0.02,0.0,0.0,0.0,0.0,-0.01,-0.01,0,0,0.0,0.0,0.0,1033,2119,0.02,-0.01,0,0.0,0.0,0.01,0.01,-0.01,0,0.0,0.0,0.0,31,2068,-0.01,-0.02,0.0,0.0,0.0,0.0,-0.04,-0.02,0.0,0.0,0.0,0.0,2147,2281,0.02,-0.01,-0.01,0.0,0.0,0.0,0.01,-0.01,-0.01,0.0,0.0,0.01,1990,2025,0.0,-0.01,0,0.0,0.0,0.01,-0.01,-0.02,0.0,0.0,0.0,0.0,-0.42,2.93,9.31,356.25,-2.38,-17.88
1,LeftGlove,4,2026-04-17T09:43:05.359,189731,1081,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2099,1849,1.69,0.85,0.77,-1.0,1.31,1.1,0.0,0,0,0.0,0.0,0.0,1031,2111,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,29,2068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2149,2281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1990,2025,-0.01,-0.01,0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,2.92,9.29,356.25,-2.38,-17.88
1,LeftGlove,5,2026-04-17T09:43:05.533,189837,1240,-1,-1,0,0,0,0,0,0,0.02,0.0,0.0,0.0,0.0,0.0,2101,1850,1.28,0.15,0.09,0.28,0.12,-1.46,-0.01,0,0,0.0,0.0,0.0,1033,2117,0.02,-0.01,0,0.0,0.0,0.01,0.01,-0.01,0,0.0,0.0,0.0,31,2069,-0.01,-0.02,0.0,0.0,0.0,0.01,-0.04,-0.02,0.0,0.0,0.0,0.0,2149,2281,0.02,-0.01,-0.01,0.0,-0.01,0.0,0.01,-0.01,0.0,0.0,0.0,0.01,1997,2025,-0.01,-0.01,0,0.0,0.0,0.0,-0.01,-0.02,0.0,-0.01,0.0,0.0,-0.4,2.95,9.25,356.25,-2.38,-17.88
1,LeftGlove,6,2026-04-17T09:43:06.248,190755,2042,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2095,1851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1031,2117,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,29,2067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2147,2281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982,2023,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.44,2.94,9.34,356.25,-2.38,-17.88
1,LeftGlove,7,2026-04-17T09:43:06.763,191164,2451,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2097,1849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1029,2119,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,28,2069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2149,2281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1977,2026,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.44,2.94,9.33,356.25,-2.38,-17.88
1,LeftGlove,8,2026-04-17T09:43:07.172,191574,2864,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2099,1853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1031,2119,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,29,2067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2147,2282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1983,2023,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.41,2.98,9.25,356.25,-2.38,-17.88
1,LeftGlove,9,2026-04-17T09:43:07.582,191983,3272,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2095,1853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1033,2119,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,29,2069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2148,2283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982,2025,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.41,2.92,9.27,356.25,-2.38,-17.88
1,LeftGlove,10,2026-04-17T09:43:07.992,192393,3680,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2096,1853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1031,2118,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,28,2068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2148,2281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1975,2023,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.46,2.91,9.31,356.25,-2.38,-17.88
