hand,glove_time_ms,time,palm_mcp_flex,palm_pip_flex,palm_mid_yaw,palm_mid_pitch,palm_mid_roll,palm_mid_ax,palm_mid_ay,palm_mid_az,palm_prox_yaw,palm_prox_pitch,palm_prox_roll,palm_prox_ax,palm_prox_ay,palm_prox_az,thumb_mcp_flex,thumb_pip_flex,thumb_mid_yaw,thumb_mid_pitch,thumb_mid_roll,thumb_mid_ax,thumb_mid_ay,thumb_mid_az,thumb_prox_yaw,thumb_prox_pitch,thumb_prox_roll,thumb_prox_ax,thumb_prox_ay,thumb_prox_az,index_mcp_flex,index_pip_flex,index_mid_yaw,index_mid_pitch,index_mid_roll,index_mid_ax,index_mid_ay,index_mid_az,index_prox_yaw,index_prox_pitch,index_prox_roll,index_prox_ax,index_prox_ay,index_prox_az,middle_mcp_flex,middle_pip_flex,middle_mid_yaw,middle_mid_pitch,middle_mid_roll,middle_mid_ax,middle_mid_ay,middle_mid_az,middle_prox_yaw,middle_prox_pitch,middle_prox_roll,middle_prox_ax,middle_prox_ay,middle_prox_az,ring_mcp_flex,ring_pip_flex,ring_mid_yaw,ring_mid_pitch,ring_mid_roll,ring_mid_ax,ring_mid_ay,ring_mid_az,ring_prox_yaw,ring_prox_pitch,ring_prox_roll,ring_prox_ax,ring_prox_ay,ring_prox_az,pinky_mcp_flex,pinky_pip_flex,pinky_mid_yaw,pinky_mid_pitch,pinky_mid_roll,pinky_mid_ax,pinky_mid_ay,pinky_mid_az,pinky_prox_yaw,pinky_prox_pitch,pinky_prox_roll,pinky_prox_ax,pinky_prox_ay,pinky_prox_az
LeftGlove,356709,356998,-1,-1,-0.04,0,0,0.0,0.0,-0.03,-0.52,-0.03,-0.12,0.0,0.01,0.02,2079,2117,-0.04,0,0,0.01,-0.01,0.02,-0.04,0,0,0.02,0.02,0.01,1799,1763,-0.01,0,0,0.0,0.0,-0.01,-0.03,0,0,0.0,0.01,0.02,1705,2037,0,0,0,-0.01,0.01,-0.01,-0.01,0,0,0.01,-0.02,0.01,2972,3359,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3273,3099,-0.04,0,0,-0.02,0.0,-0.01,-0.02,0,0,-0.02,0.01,-0.01
LeftGlove,357030,357340,-1,-1,-0.04,0,0,-0.02,0.0,-0.01,-0.52,-0.03,-0.12,0.01,0.01,0.0,2076,2111,-0.04,0,0,-0.01,0.02,0.0,-0.04,0,0,0.0,-0.01,0.0,1785,1751,-0.01,0,0,0.01,0.01,0.03,-0.03,0,0,0.0,0.0,-0.03,1699,2035,0,0,0,0.01,-0.01,0.0,-0.01,0,0,0.01,0.0,0.02,2980,3363,-0.02,0,0,-0.02,0.0,-0.04,-0.02,0,0,-0.01,0.01,0.03,3272,3100,-0.04,0,0,0.01,-0.01,-0.03,-0.02,0,0,0.02,0.0,0.0
LeftGlove,357372,357686,-1,-1,-0.04,0,0,0.01,-0.01,-0.03,-0.52,-0.03,-0.12,0.0,0.0,0.02,2079,2119,-0.04,0,0,0.0,0.01,0.01,-0.04,0,0,0.02,0.0,0.0,1799,1759,-0.01,0,0,0.02,-0.01,0.02,-0.03,0,0,-0.01,0.0,-0.01,1712,2037,0,0,0,0.0,0.01,0.02,-0.01,0,0,0.01,-0.02,-0.02,2981,3357,0.0,0,0,0.0,0.0,0.0,-0.02,0,0,0.0,0.0,0.02,3269,3087,-0.04,0,0,-0.01,0.01,-0.03,-0.02,0,0,0.02,0.0,0.04
LeftGlove,357718,358030,-1,-1,-0.04,0,0,-0.01,0.01,-0.03,-0.52,-0.03,-0.12,-0.01,0.0,0.03,2076,2111,-0.04,0,0,0.02,-0.01,0.0,-0.04,0,0,0.0,0.02,0.01,1803,1766,-0.01,0,0,0.01,0.0,-0.01,-0.03,0,0,0.01,0.0,0.01,1709,2034,0,0,0,0.0,0.0,-0.01,-0.01,0,0,0.0,0.0,-0.01,2980,3359,-0.02,0,0,0.0,-0.01,0.01,0.0,0,0,0.0,0.0,0.0,3275,3068,-0.04,0,0,0.0,0.01,0.0,-0.02,0,0,0.0,0.0,0.02
LeftGlove,358063,358373,-1,-1,-0.04,0,0,0.0,0.01,0.0,-0.52,-0.03,-0.12,-0.01,0.0,0.02,2075,2117,-0.04,0,0,0.0,0.0,0.0,-0.04,0,0,0.0,0.0,0.01,1989,1939,-0.01,0,0,0.0,0.01,-0.02,-0.03,0,0,-0.01,0.01,0.02,1878,2038,0,0,0,0.0,0.0,-0.02,-0.01,0,0,0.0,0.01,0.01,2981,3358,-0.02,0,0,0.01,0.0,-0.01,-0.02,0,0,0.0,-0.01,0.0,3272,3083,0.0,0,0,0.0,0.0,0.0,-0.02,0,0,-0.02,0.01,-0.01
LeftGlove,358405,358729,-1,-1,0.0,0,0,0.0,0.0,0.0,-0.52,-0.03,-0.12,0.0,0.0,0.02,2079,2111,-0.04,0,0,0.01,0.0,-0.01,-0.04,0,0,-0.02,0.01,0.0,1971,1917,-0.01,0,0,0.0,0.0,0.0,-0.03,0,0,0.0,0.01,0.01,1865,2039,0,0,0,0.0,0.0,-0.02,-0.01,0,0,0.01,-0.01,0.0,2975,3363,-0.02,0,0,-0.01,0.0,0.0,-0.02,0,0,-0.01,0.0,-0.01,3287,3096,-0.04,0,0,0.0,-0.01,0.01,-0.02,0,0,-0.01,-0.01,-0.02
LeftGlove,358811,359063,-1,-1,-0.04,0,0,0.0,-0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,2085,2119,0.0,0,0,0.0,0.0,0.0,-0.04,0,0,-0.01,-0.01,0.0,1967,1916,-0.01,0,0,0.0,-0.01,0.02,-0.03,0,0,-0.01,0.0,-0.01,1853,2037,0,0,0,0.0,0.0,0.01,0.0,0,0,0.0,0.0,0.0,2981,3359,-0.02,0,0,0.01,-0.01,0.0,-0.02,0,0,0.0,0.0,-0.01,3274,3064,-0.04,0,0,-0.01,0.0,0.01,-0.02,0,0,-0.01,0.0,-0.01
LeftGlove,359096,359427,-1,-1,-0.04,0,0,-0.01,0.0,0.01,-0.52,-0.03,-0.12,0.01,0.0,0.0,2077,2109,-0.04,0,0,-0.01,0.0,0.01,-0.04,0,0,0.02,0.01,-0.01,1956,1907,-0.01,0,0,-0.01,0.0,0.01,-0.03,0,0,0.01,0.0,0.01,1849,2037,0,0,0,0.0,0.0,0.0,-0.01,0,0,0.0,0.01,0.01,2981,3359,-0.02,0,0,0.0,0.0,-0.01,-0.02,0,0,0.0,0.01,0.01,3263,3102,-0.04,0,0,0.0,0.01,-0.02,-0.02,0,0,0.01,0.0,0.01
LeftGlove,359460,359774,-1,-1,-0.04,0,0,0.0,0.01,-0.02,-0.52,-0.03,-0.12,-0.01,0.0,0.01,2073,2115,0.0,0,0,0.0,0.0,0.0,-0.04,0,0,0.01,-0.01,-0.01,1753,1897,-0.01,0,0,0.0,0.0,0.01,-0.03,0,0,0.0,0.0,0.0,1843,2039,0,0,0,-0.01,0.0,0.01,-0.01,0,0,0.0,0.0,-0.01,2979,3359,-0.02,0,0,0.0,0.0,0.0,-0.02,0,0,0.0,-0.01,-0.01,3260,3089,-0.04,0,0,0.0,0.0,0.0,-0.02,0,0,0.0,0.0,0.0
LeftGlove,359807,360119,-1,-1,-0.04,0,0,0.0,0.0,0.0,-0.52,-0.03,-0.12,0.0,0.0,0.0,2079,2117,-0.04,0,0,0.0,0.0,-0.01,0.0,0,0,0.0,0.0,0.0,1938,1885,-0.01,0,0,0.0,0.0,0.0,-0.03,0,0,0.0,0.0,-0.01,1829,2037,0,0,0,0.0,-0.01,0.01,-0.01,0,0,0.0,0.0,-0.01,2979,3357,-0.02,0,0,-0.01,0.0,0.0,-0.02,0,0,-0.01,0.0,-0.01,3279,3100,-0.04,0,0,0.0,0.0,0.02,-0.02,0,0,-0.01,0.0,-0.01
