run_index,hand,glove_time_ms,time,palm_mcp_flex,palm_pip_flex,palm_mid_yaw,palm_mid_pitch,palm_mid_roll,palm_mid_ax,palm_mid_ay,palm_mid_az,palm_prox_yaw,palm_prox_pitch,palm_prox_roll,palm_prox_ax,palm_prox_ay,palm_prox_az,thumb_mcp_flex,thumb_pip_flex,thumb_mid_yaw,thumb_mid_pitch,thumb_mid_roll,thumb_mid_ax,thumb_mid_ay,thumb_mid_az,thumb_prox_yaw,thumb_prox_pitch,thumb_prox_roll,thumb_prox_ax,thumb_prox_ay,thumb_prox_az,index_mcp_flex,index_pip_flex,index_mid_yaw,index_mid_pitch,index_mid_roll,index_mid_ax,index_mid_ay,index_mid_az,index_prox_yaw,index_prox_pitch,index_prox_roll,index_prox_ax,index_prox_ay,index_prox_az,middle_mcp_flex,middle_pip_flex,middle_mid_yaw,middle_mid_pitch,middle_mid_roll,middle_mid_ax,middle_mid_ay,middle_mid_az,middle_prox_yaw,middle_prox_pitch,middle_prox_roll,middle_prox_ax,middle_prox_ay,middle_prox_az,ring_mcp_flex,ring_pip_flex,ring_mid_yaw,ring_mid_pitch,ring_mid_roll,ring_mid_ax,ring_mid_ay,ring_mid_az,ring_prox_yaw,ring_prox_pitch,ring_prox_roll,ring_prox_ax,ring_prox_ay,ring_prox_az,pinky_mcp_flex,pinky_pip_flex,pinky_mid_yaw,pinky_mid_pitch,pinky_mid_roll,pinky_mid_ax,pinky_mid_ay,pinky_mid_az,pinky_prox_yaw,pinky_prox_pitch,pinky_prox_roll,pinky_prox_ax,pinky_prox_ay,pinky_prox_az
12,LeftGlove,494994,0,-1,-1,0,0,0,0,0,0,-0.3,-0.36,0.19,0.0,-0.01,0.95,2030,2090,1.14,-0.32,0.67,-0.02,0.01,0.22,-0.96,-0.39,0.73,0.0,-0.04,0.17,2024,2013,3.05,-0.05,0.36,0.0,0.01,0.09,-2.86,-0.18,0.23,0.0,0.03,-0.04,2003,2036,-1.61,-0.4,0.07,0.07,0.0,0.43,1.36,-0.32,0.09,0.03,0.06,0.42,3335,3495,-0.72,-0.34,-0.13,-0.01,0.02,0.54,-0.36,-0.32,0.05,0.01,0.05,0.48,3373,3118,-1.13,-0.23,-0.02,0.0,0.01,0.47,0.0,0.0,0.0,0.0,0.0,0.0
12,LeftGlove,495538,371,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2032,2069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3334,3496,-0.74,-0.39,-0.11,0.02,0.03,0.6,-0.4,-0.38,-0.02,0.03,0.07,0.56,3369,3108,-1.13,-0.27,-0.02,0.01,0.05,0.52,-2.33,-0.21,-0.02,-0.04,-0.02,0.38
12,LeftGlove,495699,632,-1,-1,0,0,0,0,0,0,-0.24,-0.37,0.26,0.03,-0.03,0.96,2037,2055,1.14,-0.27,0.67,-0.03,0.02,0.26,-0.93,-0.35,0.74,0.0,-0.02,0.19,2023,2029,3.04,-0.04,0.35,0.0,0.0,0.08,-2.9,-0.15,0.12,0.0,0.0,0.02,2035,2037,-1.64,-0.42,0.05,0.08,0.0,0.44,1.33,-0.33,0.0,0.03,0.04,0.44,3336,3495,-0.74,-0.38,-0.11,0.03,0.03,0.59,-0.39,-0.37,-0.01,0.02,0.05,0.56,3373,3133,-1.13,-0.26,-0.02,0.01,0.04,0.52,-2.33,-0.2,-0.01,-0.02,-0.03,0.37
12,LeftGlove,495960,955,-1,-1,0,0,0,0,0,0,-0.24,-0.36,0.25,0.02,-0.03,0.96,2034,2014,1.14,-0.28,0.67,-0.03,0.01,0.27,-0.93,-0.36,0.73,0.0,-0.02,0.18,2039,2028,3.04,-0.04,0.35,0.01,0.0,0.08,-2.9,-0.15,0.12,0.0,0.01,0.03,2009,2041,-1.66,-0.41,0.06,0.08,-0.01,0.44,1.32,-0.32,0.01,0.02,0.04,0.44,3352,3499,-0.73,-0.37,-0.11,0.02,0.02,0.58,-0.39,-0.35,0.0,0.0,0.03,0.54,3375,3113,-1.13,-0.25,-0.01,0.01,0.03,0.52,-2.33,-0.2,0.0,-0.01,-0.01,0.37
12,LeftGlove,496283,1291,-1,-1,0,0,0,0,0,0,-0.25,-0.36,0.24,0.0,-0.02,0.96,2028,2069,1.15,-0.29,0.66,-0.02,0.01,0.25,-0.93,-0.36,0.73,0.0,-0.01,0.2,2032,2027,3.04,-0.04,0.35,0.0,0.0,0.1,-2.9,-0.15,0.13,0.0,0.01,0.01,2031,2037,-1.68,-0.4,0.06,0.09,-0.01,0.43,1.31,-0.32,0.02,0.01,0.04,0.44,3335,3447,-0.73,-0.36,-0.11,0.01,0.02,0.58,-0.39,-0.34,0.01,0.0,0.02,0.54,3324,3147,0.0,0.0,0.0,0.0,0.0,0.0,-2.33,-0.19,0.0,0.0,-0.03,0.38
12,LeftGlove,496620,1657,-1,-1,0,0,0,0,0,0,-0.25,-0.35,0.23,0.03,0.01,1.06,2025,2070,1.14,-0.31,0.66,0.03,0.0,0.3,-0.98,-0.4,0.72,-0.08,-0.1,0.22,2009,2009,3.05,-0.05,0.29,-0.05,0.0,0.27,-2.88,-0.17,0.07,-0.15,-0.01,0.16,1947,2021,-1.71,-0.34,0.12,0.19,0.06,0.54,1.28,-0.27,0.3,0.5,-0.35,0.91,3327,3497,-0.76,-0.24,0.04,0.16,0.02,0.69,-0.18,-0.26,0.59,0.22,-0.34,-0.29,3369,3103,-1.33,-0.12,-0.19,0.01,0.2,0.54,-2.58,-0.2,-0.21,-0.27,-0.79,0.95
12,LeftGlove,496986,1993,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1952,2017,1.37,-0.74,0.31,0.22,-0.08,-0.07,-0.96,-0.83,0.15,-0.05,0.17,-0.15,1653,1612,3.06,0.13,-0.21,-0.03,-0.09,-0.17,-3.08,-0.06,-0.56,-0.02,-0.05,0.0,2041,2036,-1.98,-0.32,0.4,0.33,-0.18,0.26,0.32,-2.64,1.67,-0.43,0.18,-0.4,3327,3487,-1.11,-0.47,0.12,0.24,-0.26,0.42,0.55,-0.56,1.55,-0.14,-0.43,-0.35,3368,3101,-2.01,-0.19,-0.55,0.35,-0.36,0.31,2.96,-0.3,-0.63,0.38,0.2,0.32
12,LeftGlove,497322,2335,-1,-1,0,0,0,0,0,0,-0.91,-0.47,-0.71,-0.24,-0.22,0.36,1976,2021,1.79,-0.99,-0.64,0.14,0.03,-0.98,-0.81,-0.86,-0.82,-0.01,-0.16,-0.72,2031,2029,0.19,1.25,-0.42,-0.06,1.3,-1.37,0.0,0.0,0.0,0.0,0.0,0.0,2039,2039,-2.18,-0.39,0.2,0.26,0.14,0.41,0.65,-0.65,1.57,-0.23,-0.08,-0.02,3337,3498,-1.28,-0.53,0.02,0.23,0.1,0.74,0.66,-0.71,1.48,0.09,-0.27,-0.15,3373,3100,-2.15,-0.24,-0.52,0.16,0.02,0.48,2.9,-0.32,-0.58,-0.08,0.19,0.56
12,LeftGlove,497664,2673,-1,-1,0,0,0,0,0,0,-1.02,-0.51,-0.59,-0.21,-0.06,0.57,1983,2031,1.73,-1.01,-0.58,0.12,0.1,-0.79,-0.85,-0.87,-0.82,-0.05,-0.09,-0.69,2024,2029,0.13,1.21,-0.43,0.33,0.97,-1.8,2.94,-0.11,-0.79,-0.04,0.05,0.23,2029,2039,0.0,0.0,0.0,0.0,0.0,0.0,0.72,-0.67,1.52,-0.36,-0.1,-0.09,3335,3494,-1.3,-0.51,-0.05,0.27,-0.02,0.68,0.67,-0.75,1.43,0.17,-0.22,-0.08,3369,3101,-2.24,-0.26,-0.58,0.29,-0.02,0.47,2.84,-0.31,-0.62,0.0,0.27,0.49
12,LeftGlove,498002,3012,-1,-1,0,0,0,0,0,0,-1.09,-0.53,-0.58,-0.21,-0.07,0.56,1971,2025,1.77,-1.02,-0.71,0.08,0.09,-0.79,-0.83,-0.85,-0.96,-0.03,-0.1,-0.59,2061,2037,0.22,1.11,-0.57,0.42,0.94,-1.65,2.9,-0.09,-0.87,-0.02,0.11,0.24,2035,2035,-2.3,-0.35,0.12,0.21,0.09,0.41,0.79,-0.69,1.46,-0.17,-0.05,0.06,3335,3493,-1.32,-0.5,-0.1,0.24,0.0,0.71,0.66,-0.78,1.36,0.1,-0.14,0.04,3384,3103,-2.32,-0.31,-0.63,0.26,0.01,0.47,0.0,0.0,0.0,0.0,0.0,0.0
